"from_symbol","to_symbol","combined_score"
"CD4","CCR7",0.947
"CD4","LAT",0.737
"CD4","CD22",0.836
"CD4","CCL5",0.887
"CD4","MAPK3",0.71
"CD4","CSF3",0.734
"CD4","CD80",0.958
"CD4","CD8A",0.999
"CD4","MADCAM1",0.801
"CD4","CCND1",0.781
"CD4","FYN",0.98
"CD4","CXCL13",0.818
"CD4","STAT5B",0.833
"CD4","ALB",0.817
"CD4","CD38",0.932
"CD4","CCL17",0.718
"CD4","CD40",0.924
"CD4","PLCG1",0.737
"CD4","IL3",0.709
"CD4","GZMB",0.936
"CD4","ITIH4",0.999
"CD4","CCRL2",0.878
"CD4","BST2",0.788
"CD4","CRP",0.79
"CD4","FASLG",0.868
"CD4","STAT6",0.862
"CD4","TLR8",0.754
"CD4","IL7R",0.96
"CD4","ICAM3",0.707
"CD4","IFNA1",0.887
"CD4","KIT",0.778
"CD4","CD82",0.968
"CD4","TLR3",0.786
"CD4","TLR4",0.902
"CD4","LAG3",0.914
"CD4","ITGB7",0.728
"CD4","IL1B",0.958
"CD4","CD7",0.901
"CD4","THBS1",0.817
"CD4","PDCD1",0.96
"CD4","CD79A",0.753
"CD4","KLRB1",0.787
"CD4","NT5E",0.736
"CD4","STAT1",0.891
"CD4","THY1",0.753
"CD4","SYK",0.981
"CD4","TNFRSF8",0.776
"CD4","CCR2",0.909
"CD4","SCARB2",0.739
"CD4","CD69",0.948
"CD4","IL18",0.849
"CD4","IL1A",0.876
"CD4","CD3D",0.982
"CD4","CD9",0.829
"CD4","CD68",0.898
"CD4","CASP3",0.772
"CD4","NFKB1",0.858
"CD4","CCR1",0.708
"CD4","IL2",0.975
"CD4","CXCR3",0.864
"CD4","CD81",0.982
"CD4","ICAM1",0.969
"CD4","RBX1",0.914
"CD4","PMEL",0.782
"CD4","IDO1",0.875
"CD4","GZMA",0.758
"CD4","IL13",0.931
"CD4","STAT5A",0.843
"CD4","TRAT1",0.942
"CD4","IL2RB",0.875
"CD4","CCL2",0.839
"CD4","TLR2",0.814
"CD4","APOBEC3G",0.767
"CD4","TBX21",0.947
"CD4","PLAT",0.942
"CD4","MPO",0.7
"CD4","SOCS3",0.712
"CD4","FN1",0.916
"CD4","CXCR5",0.909
"CD4","CUL1",0.944
"CD4","TGFB1",0.87
"CD4","CXCL11",0.769
"CD4","LY75",0.744
"CD4","PTK2",0.859
"CD4","ZAP70",0.995
"CD4","IL6",0.966
"CD4","IL4",0.97
"CD4","ARG1",0.761
"CD4","CXCL9",0.79
"CD4","HSPA4",0.712
"CD4","IFNA2",0.788
"CD4","SRC",0.728
"CD4","CXCL10",0.839
"CD4","TP53",0.703
"CD4","CCL22",0.72
"CD4","CD27",0.931
"CD4","APOE",0.701
"CD4","STAT3",0.892
"TSPAN9","TSPAN32",0.715
"TSPAN9","CD9",0.761
"PPP5C","SDF2",0.724
"PPP5C","MAP3K5",0.97
"PPP5C","CCT8",0.917
"PPP5C","CCT2",0.908
"PPP5C","CCT4",0.926
"PPP5C","CCT7",0.908
"PPP5C","ARAF",0.702
"PPP5C","CCT3",0.911
"PPP5C","HSP90AA1",0.997
"PPP5C","CDC37",0.995
"PPP5C","HSPA4",0.801
"PPP5C","HSP90AB1",0.997
"PPP5C","TSC1",0.958
"PPP5C","CCT5",0.908
"PPP5C","PSMG2",0.901
"PPP5C","CCT6A",0.913
"UBR7","NASP",0.723
"MAP4K5","CRKL",0.82
"MAP4K5","CRK",0.895
"MAP4K5","GRB2",0.926
"ERCC1","TOPBP1",0.737
"ERCC1","ERCC8",0.977
"ERCC1","PARP2",0.721
"ERCC1","RPA1",0.898
"ERCC1","FANCE",0.71
"ERCC1","KDM1A",0.907
"ERCC1","WRN",0.855
"ERCC1","GTF2H1",0.894
"ERCC1","LIG1",0.891
"ERCC1","NBN",0.7
"ERCC1","XPC",0.994
"ERCC1","XPA",0.999
"ERCC1","XRCC5",0.982
"ERCC1","CDK7",0.789
"ERCC1","ERCC3",0.994
"ERCC1","FEN1",0.946
"ERCC1","PALB2",0.757
"ERCC1","FANCI",0.907
"ERCC1","BRCA2",0.877
"ERCC1","RAD23B",0.998
"ERCC1","REV3L",0.712
"ERCC1","MUS81",0.998
"ERCC1","ATM",0.975
"ERCC1","PRKDC",0.958
"ERCC1","ERCC6",0.926
"ERCC1","PARP1",0.869
"ERCC1","CETN2",0.971
"ERCC1","EXO1",0.848
"ERCC1","GTF2H4",0.728
"ERCC1","APEX1",0.774
"ERCC1","RRM1",0.782
"ERCC1","BRCA1",0.93
"COX15","NDUFS3",0.75
"COX15","COX5B",0.804
"COX15","UQCRFS1",0.978
"COX15","COX6C",0.739
"COX15","NDUFS4",0.882
"COX15","CYC1",0.961
"COX15","UQCRC2",0.888
"COX15","COX7A2",0.757
"COX15","NDUFS7",0.72
"COX15","COX7C",0.892
"COX15","UQCR10",0.715
"COX15","COX5A",0.941
"COX15","COX6A2",0.829
"COX15","BCS1L",0.942
"COX15","UQCRC1",0.842
"MS4A12","AQP8",0.704
"XYLT2","GRB2",0.918
"XYLT2","B4GALT7",0.979
"XYLT2","B3GAT3",0.772
"XYLT2","EXTL3",0.721
"XYLT2","ABCC6",0.701
"SCTR","SCT",0.999
"SCTR","AQP2",0.738
"SCTR","GNB1",0.959
"SNAI2","TGFB1",0.711
"SNAI2","HDAC1",0.924
"SNAI2","FN1",0.8
"SNAI2","SMAD2",0.812
"SNAI2","CDH2",0.891
"SNAI2","SMAD4",0.849
"SNAI2","JUN",0.775
"SNAI2","EZH2",0.843
"SNAI2","TP53",0.915
"SNAI2","GSK3B",0.816
"SNAI2","CDH1",0.929
"SNAI2","EGF",0.732
"SNAI2","SOX9",0.91
"SNAI2","MDM2",0.853
"SNAI2","CTBP1",0.777
"SNAI2","SNAI1",0.864
"SNAI2","HDAC2",0.828
"SNAI2","MMP2",0.719
"SNAI2","KIT",0.744
"SNAI2","MITF",0.736
"SNAI2","SOX2",0.721
"SNAI2","TWIST1",0.952
"SNAI2","KDM1A",0.974
"RB1CC1","BECN1",0.999
"RB1CC1","VAPA",0.733
"RB1CC1","TSC2",0.834
"RB1CC1","GABARAPL2",0.953
"RB1CC1","ATG5",0.97
"RB1CC1","SQSTM1",0.914
"RB1CC1","PTK2",0.994
"RB1CC1","TP53",0.984
"RB1CC1","GABARAP",0.97
"RB1CC1","ATG14",0.999
"RB1CC1","PIK3C3",0.989
"RB1CC1","MTOR",0.982
"RB1CC1","TBK1",0.879
"RB1CC1","MAP3K5",0.912
"RB1CC1","PIK3R4",0.986
"AKAP11","PRKACA",0.939
"AKAP11","GSK3B",0.85
"AKAP11","PRKACG",0.775
"PIGQ","PIGH",0.999
"PIGQ","PIGK",0.765
"PIGQ","PIGB",0.747
