""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"CMPK1",8.952680277,9.12930692,8.808547534,9.288817724,9.054168739,9.090419013,8.531981607,8.724222151,8.910258964,9.042057695,8.986358722,8.41951604,9.244811136,8.978460605,8.820002562,8.929646886
"POLR3K",8.298275533,8.14888274,7.913912309,8.379056865,8.479780323,8.423194581,7.93764078,8.075648968,8.255626154,8.638150105,8.369753705,8.311200075,8.756133034,8.356407737,8.512601776,8.695244138
"WBP11",9.138333017,9.093695285,8.814818555,9.217261495,8.985194992,9.018758757,8.922781995,8.750424062,8.811648312,9.076797115,8.895347192,9.251959801,9.231506141,9.181407461,9.054665544,9.019808079
"SLC26A4",3.576164699,3.578863562,3.482375569,3.780926115,3.542083361,3.473675546,3.816840002,3.380560308,3.419915402,3.668097461,3.497665082,3.670138147,3.487575346,3.74121476,3.620496716,3.590795903
"UPB1",5.651018707,5.815398972,5.630352389,5.504074862,5.760745595,4.986576376,5.475902551,5.459151805,5.398250909,6.04734171,5.783581458,5.86839335,5.733592111,6.092534269,5.747854566,5.988704119
"MSRB1",11.80796508,12.02914535,12.12425207,12.09461871,12.30781688,12.32662441,12.52617437,12.53955302,12.30213492,12.28611993,11.94216292,11.85405639,12.1518059,11.89353028,12.02856813,12.03725956
"RAPGEF6",9.945614554,10.08027313,9.735756016,10.0939291,9.351204131,9.313838364,9.732071504,9.456872182,9.49565299,9.716552572,9.839260101,9.430624222,10.05494676,10.01749805,9.329710774,9.376887637
"PDYN",4.575244959,4.794099206,4.663527854,4.823566658,4.356825496,4.251783197,4.555754862,4.566846641,4.42173293,4.269319624,4.750119737,4.531517331,4.368507799,4.405553563,4.578537996,4.236616653
"WWOX",5.123423683,5.329940982,5.13226043,5.192471606,5.229188448,4.74677745,5.223413138,4.987623119,5.010865076,4.689502365,5.068881713,5.705091794,4.375700905,5.333932463,5.685889708,5.168889158
"ARID4B",8.516739295,8.700789707,8.355119118,8.764764028,8.715567714,8.498690312,9.065399074,9.259256491,8.865757297,8.751717643,8.159717303,8.003114728,8.772575134,8.569022616,8.658717081,8.614016731
"CD244",8.212048143,8.129524262,8.108700236,8.084857421,8.267154985,6.940677938,7.216474192,7.423945832,8.214433187,8.380932405,8.631787651,8.24062166,8.642353539,8.173165231,8.44884626,8.513565485
"LUC7L3",9.297658406,9.584979704,9.30855133,9.543398364,9.433885303,9.450112407,8.813768752,8.901792407,9.118377185,9.323799499,9.235817693,8.988543855,9.590809399,9.509067791,9.499066239,9.432564425
