""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"MELTF",4.543907271,4.247659477,4.254825321,4.293297197,4.604557311,4.259038969,4.132572115,4.31754653,4.163098921,4.234807492,4.246004848,4.349395076,4.182211163,4.178673525,4.281133063,4.294454315
"MFNG",9.640006147,9.737461951,9.757558548,9.600979059,9.813883087,9.769767371,9.743626293,9.838750513,9.839708559,9.723709475,9.808670498,9.752488695,9.776351465,9.770751665,9.639265326,9.815330992
"MGAT1",10.10582878,10.23697289,9.963578454,10.00443224,9.991265959,9.82693649,9.733510697,10.05182588,9.964409405,10.05207566,10.03073341,9.928192866,9.778761483,10.07002287,9.890482088,9.923136402
"SCGB2A1",3.8125377,3.651574953,3.524285553,3.882422105,3.781012925,3.654442052,3.573345216,3.681038904,3.68018193,3.766671517,3.672267735,3.773656906,3.829486037,3.760490946,3.719239644,3.691398936
"MGAT2",7.869763149,8.111774846,8.160196474,8.171200053,8.185943158,8.368914134,8.495739957,8.156464455,8.468886737,8.190799871,8.355359142,8.120056079,8.298392806,8.231948585,8.214370572,8.179806024
"MGAT3",4.926842067,5.03007552,4.930910033,4.839520904,5.27628384,4.647849048,4.839925508,5.237296537,4.703914663,4.759369961,4.820055017,4.821139347,4.901628055,4.899920494,5.071427856,4.874605355
"MGAT5",5.055922878,4.655579694,4.667559439,4.76002015,4.88201412,4.694254732,4.682171839,4.931212912,4.644124886,4.885502953,4.811863685,4.850992796,4.713083313,4.702567503,4.799565442,4.614805372
"SCGB2A2",3.711783644,3.545781718,3.632894046,3.61956877,3.57777786,3.542092698,3.41943609,3.622614953,3.394306686,3.612032584,3.59087903,3.624690163,3.838833466,3.560081605,3.547461844,3.428902732
"MIA2",8.449396041,8.581175289,8.426975775,8.340359025,8.477889955,8.677329173,8.510672519,8.476874388,8.704241889,8.369663907,8.625927768,8.294573865,8.479371253,8.583443076,8.354858809,8.384308223
"KITLG",3.843850217,3.742733767,3.913959597,3.876950611,3.868581607,3.738765837,3.75505468,3.909811638,3.709302342,3.732934616,3.918099344,3.727108549,3.902768228,3.78448635,3.82249855,3.670709255
"MGMT",7.221817685,7.579109324,7.774360457,7.642360152,7.542319527,7.614097569,7.628251077,7.822974637,7.773497702,7.625377371,7.618029468,7.59008694,7.82640849,7.542149636,7.530786231,7.60785957
"MGP",4.266115576,4.545446931,4.272026888,3.946171751,4.366559686,3.851320971,4.056695,4.13521809,4.07986991,4.03508666,4.224927829,4.145122093,4.111652021,4.295229065,4.076673092,4.274056022
"MGST2",7.789148134,7.717266553,7.879664771,8.156070361,7.743617712,7.912257,7.862978222,8.049007368,7.634477177,7.660150559,7.896674627,7.648759027,7.76778303,7.606986371,8.149728232,7.908324038
"MGST3",9.345408765,9.728378568,9.912590983,10.34482605,9.747148298,10.03907606,10.14381478,10.15335974,10.1791771,10.04472572,9.909303315,9.838666721,10.07264486,9.828520006,9.937850871,9.889206901
"CIITA",5.784116022,5.22184359,5.248161982,5.439499681,5.638334878,5.216948312,5.368748675,5.762849978,5.478207303,5.401563117,5.409410231,5.284801038,5.301882367,5.400721668,5.379338816,5.330870885
"MICB",8.872656002,8.963680415,8.901516973,8.588678429,8.840282281,9.063730372,9.061216976,8.844596608,8.956751786,9.444873631,8.848673158,9.05135748,8.980844583,9.023639842,8.991172134,9.149455538
"ASAH1",11.40685705,11.34722311,11.28610036,11.37026974,11.40486802,11.63375195,11.4528013,11.36007635,11.46148043,11.18805433,11.49080975,11.23734699,11.36053512,11.54372578,11.49174437,11.3661099
"MID1",4.069645393,3.990064261,3.980823936,3.988726275,3.919833224,3.706263497,3.849288054,4.032349787,3.910846669,4.001265404,4.098257605,4.058851939,3.811193836,3.86940513,3.902638072,3.912227614
"MIF",11.27025965,11.4983316,11.66531321,11.99505036,11.52631616,11.64832744,11.98896349,11.61963119,11.99154344,11.81478093,11.6009979,11.77255763,11.7909616,11.5314092,11.68443433,11.67075539
"CXCL9",5.01749218,4.791978992,4.709638594,4.916319545,4.739991953,4.789632756,4.69763582,5.140485734,4.702290319,4.626778304,4.798521535,4.675978191,4.410526224,4.860325405,5.01502111,4.786245369
"MIP",4.355086944,4.084514489,4.011371774,4.151572655,4.447230355,3.91494484,4.064340701,4.225500114,4.001504936,4.126716397,4.222865188,4.140084301,4.064844932,4.09568066,4.354806612,4.116790239
"MIPEP",5.366057714,5.378261888,5.62382385,5.707265613,5.439209736,5.690524729,5.699939073,5.639510281,5.670203927,5.636557529,5.697926535,5.498975343,5.635934036,5.542079469,5.572217319,5.862758609
"MITF",5.82817363,6.021343503,5.969577581,5.990731359,5.985911085,5.820132783,5.773131809,6.164130965,5.809816872,5.933882797,6.003637016,6.05502373,5.726540906,5.70255494,5.826073665,5.996952509
"ATXN3",5.93958891,5.632807899,5.807336669,6.058673497,5.455101805,6.258105854,5.799874835,5.584275707,5.840249479,5.752203338,5.680302506,5.780347528,5.739833337,5.551709723,5.692672294,5.982780358
"MKI67",5.161307661,5.266800456,5.156268246,5.110477633,5.114832107,4.894786893,5.061968908,5.456250049,5.184202497,5.147754166,5.030437339,5.283181953,5.030819304,5.144880099,5.169644087,5.125943857
"MKLN1",7.271393765,6.765048046,7.077428328,7.34016127,7.33910933,7.389774238,7.097964114,6.810114082,7.238639976,7.296710801,7.189966376,6.935943114,7.289267627,7.117328058,7.166693282,7.264822357
"MLF1",4.24474727,4.198469971,3.992611325,4.486543062,4.135085549,4.29075944,4.215503398,4.162067734,4.022463292,4.067657543,4.063188403,4.086132066,4.194109088,4.125448706,4.295749472,4.131391703
"MLH1",8.6475472,8.97139926,9.15876953,9.085349799,9.057962164,9.150368227,9.241259482,9.126805025,9.202081916,9.258067722,9.005796489,9.177617044,9.367937662,9.063052912,9.054033451,9.287001304
