"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"CFAP410",2.7018,2.1552,1.8702,2.4459,3.1392,2.4122,3.1974,2.3017,2.7401,3.2905,2.8064,2.6539,2.116,2.3918,2.2079,2.5701,2.2394,2.3079,1.6693,2.2625,3.9957,2.4616,2.6284,1.6137,4.4545,2.4679,3.008,1.6975,3.5205,1.9131,2.7234,2.4941,2.1413,2.8166,2.2951,2.3095,2.1535,1.4164,2.2024,1.7343,3.1832
"LRRC3",3.7085,3.9507,3.4815,13.1504,3.6471,7.6852,2.6795,14.5693,3.2231,5.1198,5.2721,3.4411,17.9387,9.8995,5.7794,4.6012,3.196,3.591,3.1605,3.7133,4.7579,6.7317,11.9649,0.997,4.4266,5.6691,3.86,4.5186,3.1116,16.1403,4.7349,5.7468,4.4854,4.1881,5.7652,4.6934,2.2018,4.474,3.5874,3.8639,4.8794
"ITGB2",18.2351,36.9468,12.8963,18.7589,12.0811,43.0824,32.6066,11.9386,62.3064,24.2321,20.8177,32.1498,18.7232,30.7829,15.195,42.7323,28.6748,24.0589,19.9814,24.4176,28.9176,18.6707,48.6363,25.3979,34.9862,51.0438,32.0975,13.9775,30.899,83.407,38.3171,30.7209,42.3881,59.4212,22.7837,33.2602,19.5633,40.7621,40.337,28.8898,26.1141
"FAM207A",17.086,17.9829,13.4504,23.4213,26.0039,22.5985,21.8655,25.1345,16.908,21.8976,23.5655,20.113,31.2248,18.7772,21.7384,18.5506,15.1493,19.6451,15.5755,13.4726,18.1917,20.9056,25.3862,21.8394,16.5487,27.8452,22.7407,20.6779,14.5695,26.1258,21.437,22.6206,17.8263,13.2805,24.0098,33.4747,11.8253,34.5945,22.8864,20.2388,26.1539
"RALGDS",1.8132,1.7085,2.6872,2.4025,1.9366,2.644,1.3962,2.0111,2.2574,4.3389,2.0049,1.8967,2.392,1.9708,2.8375,2.611,1.5916,1.409,2.2917,2.1299,2.3054,2.585,2.1586,1.0159,1.6887,2.1738,2.401,3.3858,4.0459,2.2244,2.7157,2.6984,1.9118,2.5758,2.1592,1.5039,1.8788,1.659,1.948,1.3004,2.5094
"LSS",30.4256,19.049,21.6943,39.9721,22.5,21.8245,13.0586,43.5576,23.778,33.4523,26.1938,24.7398,34.6402,18.071,17.8737,19.5513,24.6903,21.2324,22.8451,17.1692,15.6857,37.9906,24.504,14.6507,28.0365,31.2145,27.1708,9.4861,23.2775,51.495,22.2458,62.2653,36.512,23.5859,20.4061,21.7142,22.286,26.6053,20.3397,21.1549,37.7075
"VAV2",30.9776,26.0498,27.5995,29.4987,19.1483,23.9795,27.6699,26.7657,20.2758,40.8576,32.6096,37.5216,13.4776,24.5535,18.6546,29.73,31.9378,25.0795,37.3775,36.1974,33.8233,36.2388,20.823,8.1032,41.1201,24.4266,38.2954,49.245,29.552,23.8435,41.3688,24.9555,28.4167,21.4078,36.2474,22.3422,49.1475,10.7297,38.0747,29.1544,22.7761
"MCM3AP",12.4272,15.0487,10.0394,19.9405,13.6326,11.5162,11.2098,15.3428,13.4226,19.3386,13.2418,14.7924,13.4058,9.9128,13.4363,16.9822,12.2992,9.6133,10.9026,9.5481,14.8293,16.2569,13.118,9.0434,15.2002,13.4365,19.1681,10.9263,16.8531,18.1644,16.4072,19.4471,14.1718,13.1672,16.073,11.8096,11.509,9.7822,13.25,11.9134,17.2593
"PCNT",6.2802,8.4476,5.2442,10.1403,7.0157,6.4996,5.4945,8.7332,7.4948,11.6651,6.7177,7.7907,9.0139,7.327,8.4405,9.5238,7.2756,4.739,6.2663,5.3764,8.0945,8.8136,5.6432,3.1394,11.0005,6.9389,12.1402,6.4472,10.0195,11.1133,9.4427,13.6875,6.9405,6.7792,7.0064,4.9586,6.9176,3.1835,6.2822,6.7859,8.8375
"DIP2A",7.7342,7.4834,7.6603,10.2504,8.7433,7.2839,5.7357,9.838,7.3439,13.0797,7.2587,7.6049,9.5955,7.5392,9.4223,10.4033,7.4799,5.8686,6.2531,5.6774,8.5751,10.0825,7.9248,4.6696,9.0002,6.8129,11.7936,6.5516,11.6724,11.0276,10.3334,12.9597,7.7507,7.7272,10.6015,7.9499,7.0611,4.7125,6.4385,7.3155,9.4844
"S100B",12.3255,4.7091,7.2314,21.7872,11.497,35.7388,5.6399,25.8404,16.4439,8.064,13.8309,7.267,79.281,37.7744,19.8338,5.9119,5.0552,9.4846,12.1879,14.3666,6.7203,13.7375,64.6876,28.1234,10.4367,15.9668,8.5019,28.3117,10.1403,60.9718,13.2828,11.6673,11.3529,6.3577,5.6162,34.7706,5.7423,128.1327,8.5957,11.0425,10.4488
"PRMT2",24.6618,23.5793,20.5995,30.5933,24.342,31.0228,25.0435,38.6639,25.3643,29.0037,31.2078,25.5616,57.9966,36.0041,31.741,25.2698,24.9521,30.4307,21.9323,22.82,26.0567,26.7851,46.8512,30.7713,32.1021,29.3616,27.1276,24.9595,27.7333,44.7512,31.7155,31.6025,25.9285,19.8165,32.2268,39.4174,18.7346,51.4498,23.0066,27.8585,25.1796
"ADAMTS13",1.2265,0.6216,0.94,1.6975,1.8188,1.3988,1.583,1.551,1.5694,3.5184,1.2565,1.1532,1.2764,1.2515,2.3544,2.093,1.1319,1.0707,0.9947,0.9012,1.3896,1.3696,0.8838,1.0209,1.9339,0.5122,1.9104,0.9221,2.8543,1.3683,1.7738,1.8349,0.7582,1.5316,2.0853,1.3016,1.2806,0.7184,1.2245,1.1979,1.4745
"C9orf116",0.8908,1.0576,0.4345,1.458,0.7426,0.8006,0.4994,1.0465,0.5534,0.9276,0.7695,0.7411,1.9119,0.9198,0.9819,1.3004,0.427,0.604,0.2649,0.5326,1.1279,0.5892,1.5992,1.0421,0.6788,1.4455,0.6052,1.0337,0.7114,1.8668,0.5293,1.5294,0.586,0.5941,0.6746,1.1881,0.4692,1.5772,0.5723,0.5002,1.0641
"GPSM1",2.0876,1.0304,1.3005,4.1166,3.2868,4.8506,1.8971,5.9141,2.1979,2.951,3.148,1.8505,8.3386,3.5453,4.3051,2.5947,1.7587,2.0504,1.4574,2.0726,2.4738,3.2317,4.6189,1.5262,2.8872,3.9164,3.5495,1.9665,4.4615,6.2157,2.5163,4.1976,1.6109,1.7016,3.9971,2.8226,1.6293,2.861,1.9474,2.0163,2.2016
"TOR2A",19.7277,20.2255,13.7569,17.3501,18.8461,14.7266,24.1586,11.8383,19.3961,25.0561,25.9973,19.2977,5.3283,13.797,17.3432,21.5319,18.3693,24.7197,23.6218,20.4783,21.6978,16.6892,16.7585,18.8111,21.6314,21.3733,20.9345,16.8141,22.5439,17.9548,19.9474,22.7784,18.9455,18.5464,25.0369,28.312,17.9014,21.6794,19.4803,20.6515,23.7354
"SHKBP1",45.3009,55.4489,34.2785,48.4329,50.6333,50.6049,55.8751,38.8111,59.6465,62.866,63.0417,50.2275,37.8856,39.6216,51.5873,57.3608,46.5453,53.6601,44.8345,46.9475,50.176,45.6073,47.4735,40.9449,59.3134,56.9348,59.2939,35.2763,50.9659,55.9222,43.8195,59.5324,51.8405,57.7509,53.2056,64.4121,41.8448,40.3163,47.4089,45.9665,55.9944
"RDH13",6.3859,6.3642,5.4139,8.4892,12.069,5.9767,6.016,5.9398,5.8319,11.3643,6.0032,6.1123,3.6273,4.883,6.6748,7.3533,5.666,5.8337,5.3617,4.1966,7.738,7.3156,3.7185,5.6536,6.812,6.318,6.3895,3.5184,10.4466,5.3398,7.9195,6.3329,5.7684,5.2511,7.4158,5.4896,6.2895,3.3998,5.0249,5.0643,7.3166
"ZER1",73.8086,117.5935,54.0255,63.2582,49.937,67.5998,85.1497,77.0201,81.885,89.6309,104.8452,74.161,98.5657,76.9112,62.5826,75.1325,63.736,72.1008,114.8043,116.764,73.5883,71.2769,89.1732,37.6664,83.0888,75.4319,68.9814,117.0795,79.3487,74.4259,85.3827,79.2192,93.9327,85.3724,74.349,81.4774,78.9281,57.3975,73.5895,80.3664,115.9049
