"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"DDX20",6.7338,8.6122,5.2931,7.3626,8.4021,7.0676,5.0692,6.7976,6.1631,5.9416,4.437,6.5987,9.3018,7.0348,6.7413,7.3885,7.2345,6.8971,4.3979,4.2579,6.9301,7.878,9.4222,8.3986,7.7653,8.2836,7.5295,6.3782,8.1071,8.9028,7.5119,8.7108,7.4852,6.8772,9.0804,8.8133,4.8547,9.1152,6.5932,5.5278,8.3126
"BTBD1",48.1128,39.5197,58.5628,59.8217,56.0197,46.4112,32.7815,55.6163,34.1827,44.7152,39.7673,43.6903,44.5048,57.7841,37.6177,43.7744,45.5063,46.5582,40.3332,33.7041,41.3666,52.1512,53.771,48.0377,45.0583,43.8492,50.0168,55.0744,43.3007,44.1602,48.2585,44.9336,46.0346,36.8398,64.8169,58.6488,48.1534,54.991,39.7991,38.4356,46.3844
"FAR2",45.194,44.9661,42.5653,49.7671,36.4926,39.0946,38.9433,22.754,31.0339,36.5746,33.6486,42.1868,14.1673,33.7967,31.5819,42.2901,48.8956,34.0341,34.9002,27.8364,36.6829,33.3134,34.0277,44.0478,44.5906,49.4775,32.268,15.4682,37.8827,27.7529,43.1337,43.4655,43.9717,31.4418,40.0457,31.8449,31.2887,29.383,35.9365,33.63,42.8897
"BCAS1",82.6524,58.4138,59.1906,93.6514,56.3857,51.0455,66.6223,45.8273,61.4414,120.8883,81.8317,92.557,10.2353,59.0086,34.8782,65.7854,80.083,111.089,123.1568,100.3074,81.7147,67.3951,48.4444,40.1101,100.9016,80.5369,122.2265,35.9727,95.974,46.2872,94.9923,80.8254,80.8067,70.1888,110.3568,92.1405,78.813,38.7407,70.6382,74.1621,133.8539
"PMS1",3.5548,3.2013,4.5292,7.7019,5.4441,5.8009,3.3736,4.7735,3.494,4.7796,2.4033,4.2465,5.721,4.7283,4.5158,4.73,4.3265,4.6594,1.8934,1.7705,3.9513,5.5322,6.8528,6.7008,4.1599,5.14,5.2513,2.7056,5.6156,6.1675,4.3222,6.4883,3.9673,4.0502,6.6396,5.6062,2.6804,6.5112,3.4264,2.8493,4.5314
"HMG20B",37.5716,33.5421,28.0332,40.6993,42.5284,40.9555,47.6341,38.0103,40.7787,49.5002,49.2704,42.202,45.0069,38.3012,46.2451,45.6825,39.8514,56.0866,31.0304,28.4641,45.3674,35.8473,51.6612,42.6949,43.7103,39.7448,45.0414,45.2651,49.9695,52.9487,46.781,54.6472,39.9017,35.6324,64.1563,72.6253,25.6891,42.2645,36.1855,37.1877,44.3388
"CALCRL",4.8569,2.0652,5.125,7.2588,5.3218,4.5634,2.0604,7.9555,4.0112,4.7676,3.6408,4.6308,7.8337,10.2134,3.4771,5.1641,5.4897,7.4158,3.3493,1.6175,2.3143,11.1468,10.4154,7.7759,3.1817,6.9729,5.3248,4.3401,6.0739,11.3733,4.4756,9.7256,3.0754,2.5677,9.2782,6.4608,3.8976,8.8599,4.3133,6.9028,4.0635
"TAF11",28.9715,29.0814,27.0787,36.8623,34.5189,29.6745,27.0091,25.5376,22.7649,32.1636,18.9744,22.451,26.3181,32.9341,24.2924,21.5299,29.5178,31.7389,25.7116,21.7792,27.8675,25.3369,35.9102,55.412,26.477,30.552,26.7196,26.1321,32.5114,28.964,30.4127,28.4165,26.8904,27.1055,35.5697,43.2087,25.1904,40.8428,22.9706,18.9333,26.3332
"ANKS1A",21.3145,22.1696,16.1784,35.7209,20.7033,24.6384,14.4282,40.366,19.3197,26.8568,25.0282,22.2622,59.1946,27.8494,25.1183,20.9445,21.046,14.0908,21.0313,23.284,20.3042,28.6399,42.8073,10.7938,22.8475,21.2164,23.5994,20.7436,23.2742,39.674,27.2021,25.4737,24.0629,16.8652,22.4309,17.8558,20.327,17.9718,17.2677,21.9316,25.7513
"AP3D1",54.7841,74.0565,44.5959,80.5714,60.1475,57.3948,46.6805,69.1049,57.8091,67.9287,59.8802,58.5732,56.5469,44.3805,53.5182,59.6963,55.7664,39.439,56.1563,52.364,60.2768,65.0891,51.5667,36.1253,60.1555,84.9241,68.9726,54.405,58.1931,73.3597,58.0485,70.731,61.9322,60.5512,55.5037,46.4405,47.9231,41.9672,53.2853,52.1664,72.0398
"SLC9A3R2",31.7955,22.8749,24.4174,49.3851,47.5191,49.4692,35.8068,60.4111,35.7004,42.1963,55.4275,43.5792,53.7866,40.4921,39.903,51.8694,34.3286,57.1348,31.723,28.7606,37.2372,55.6049,51.8457,46.0991,35.5526,54.1977,61.7978,30.7688,50.2897,78.8455,46.1198,49.0188,34.4986,30.0041,81.6553,58.4766,24.8046,40.7964,36.4411,40.3229,40.1158
"NTHL1",16.788,12.5624,12.0821,22.7084,16.776,21.5255,21.499,19.8223,20.3985,19.6217,24.3853,18.9618,17.794,16.9034,21.9927,22.6339,20.5387,34.3848,15.7799,14.3542,19.0346,21.5363,25.7131,26.3786,16.9856,23.9222,23.7532,10.6368,20.79,26.6034,18.9745,21.9077,16.8751,21.0831,36.2551,36.2491,12.0576,27.2539,16.0467,17.8208,24.1574
"GNAI3",31.4013,43.7487,31.1421,42.0241,36.1824,28.06,27.52,29.9981,27.404,26.331,26.4979,33.1834,30.7351,34.6986,27.1346,27.593,34.9434,29.9214,29.556,25.2212,29.4973,26.5323,39.8553,40.2106,34.161,45.2084,30.2061,23.2378,24.0337,35.338,30.2734,32.152,34.7724,28.053,31.6336,35.2065,28.0315,42.0716,27.9477,26.1518,31.1854
"IPO5",28.1468,33.3131,24.4509,55.2475,35.8592,36.2433,28.0154,48.1738,26.8201,32.4588,30.3512,34.0103,59.4523,40.7145,30.9941,32.0933,38.6121,32.2623,17.1783,15.2731,31.5753,42.0252,56.1493,47.971,37.2291,44.3843,39.6624,22.1798,31.908,43.9771,40.5276,41.7351,32.2242,27.4353,52.9023,51.68,17.4931,54.6876,28.2711,27.5668,37.9273
"OAT",90.4994,67.7595,67.7124,97.4273,61.7349,78.1414,59.0771,94.162,53.09,87.4632,77.4206,76.3716,141.3932,107.3846,72.9739,68.121,113.9105,111.2759,34.1966,37.5187,74.2698,62.4922,145.5765,130.3358,84.7896,84.0803,79.9854,1863.3597,81.36,87.576,85.2876,89.9796,80.0987,51.9363,132.4423,128.1826,46.1913,125.5517,63.5075,83.8456,93.896
"WDR3",6.0138,6.9937,5.5369,11.0331,8.2305,6.7385,5.4889,8.601,5.78,6.6009,5.006,7.3467,6.0266,5.9923,6.4576,6.7002,7.7637,6.2372,3.4272,3.1573,6.7936,8.2113,8.9589,8.1561,7.8125,8.5301,8.6054,3.8873,6.7783,8.8947,7.6349,8.1237,6.227,5.8364,9.9764,8.7805,4.7603,8.5831,6.2325,6.17,7.9142
"PKN2",24.6811,27.6017,33.7319,36.6802,27.2351,21.2049,18.2697,30.4813,18.1681,26.091,20.389,28.4845,26.4207,25.7071,21.6385,24.9529,26.1757,22.6903,24.5711,19.9481,23.5902,29.4614,28.3419,28.3093,28.6003,25.2354,31.2766,38.6551,29.3819,25.6302,27.953,32.1058,26.8038,21.8957,35.0516,28.8162,29.5383,24.9817,20.684,21.2095,30.7807
"WDR18",34.4601,54.3732,19.4232,53.6462,43.443,69.0286,49.2686,36.8734,42.6154,51.2079,39.1499,37.7491,24.698,31.1648,48.0773,34.38,35.9089,43.7847,26.131,25.9911,38.1554,33.3657,47.707,32.8354,46.88,48.7152,39.3377,31.3508,34.2164,36.6148,28.7933,49.4599,42.7327,31.9887,34.9178,51.6945,31.8524,46.2581,28.8587,30.4944,47.1756
"TRAM2",27.945,25.2479,28.0288,24.8244,26.9795,23.2842,14.5393,31.6531,28.9526,25.6772,20.9797,25.3873,23.0152,20.0813,17.0744,29.3274,26.7148,15.0179,15.4074,22.3409,28.1736,29.3752,22.4349,12.6283,27.2795,35.3878,29.1078,31.0968,29.0253,45.5387,29.3032,43.0838,22.2506,25.5733,19.8292,12.9762,17.6596,13.0978,17.9625,21.3976,22.7082
"NTN1",7.9194,5.6454,5.1448,35.8536,15.9031,22.2748,4.9597,44.8767,9.9613,13.4452,14.4957,7.5691,52.5034,26.9482,19.8896,9.1315,7.6341,4.8013,5.7144,6.6331,6.16,23.3056,31.5794,4.2055,10.9163,10.7775,8.6558,20.8713,9.4011,28.9784,21.6112,15.1965,12.778,3.4889,13.1062,10.4793,7.0605,11.7228,8.9342,13.5575,9.3932
"MCM10",1.8837,4.7279,0.8536,7.4609,2.499,2.1472,1.1743,1.0864,2.03,1.8039,1.1514,2.0182,0.3484,1.3355,2.1277,1.9781,2.6945,1.9898,1.2819,0.9594,1.9267,2.7473,1.618,2.9141,2.2391,5.3903,4.2041,0.9044,1.8519,3.5858,1.4561,3.1691,1.879,2.6172,1.5057,2.1212,1.271,3.7153,1.7058,0.7121,4.0482
"DGKA",14.3374,15.1988,14.0761,19.5414,11.9945,10.5594,16.269,10.2757,14.2423,16.7798,13.3625,13.532,6.9014,14.3464,14.2666,16.1457,11.9435,11.8342,19.4265,16.3729,14.5933,10.8193,11.3194,10.0382,15.3776,21.9991,15.2303,32.1213,18.5359,9.733,13.2508,12.8146,14.9495,18.3487,12.0532,10.895,21.8205,7.5621,14.8923,11.7367,18.1088
"ERBB3",129.9997,127.8769,102.0762,82.1995,75.6967,84.691,151.9528,63.4562,101.7641,135.326,117.721,143.857,23.9632,89.3808,84.6243,128.0434,135.9112,96.5352,124.108,143.3419,122.7861,74.3694,77.2836,56.083,175.8969,61.6942,107.3787,130.637,115.9444,60.0895,158.3324,128.079,139.7091,96.4588,134.3835,81.0519,120.7264,53.9659,117.4856,138.1947,133.1658
"ANKRD44",2.2569,3.0827,3.0231,3.3903,1.8671,2.9554,1.5584,3.7438,3.8393,2.3383,1.7585,2.6516,5.4273,5.0349,2.7357,3.9597,2.6793,2.5519,1.9599,2.4697,3.1853,3.3901,5.3543,1.8902,2.5717,2.8517,6.1176,2.0958,2.703,4.6544,2.9026,2.0149,2.9777,5.6757,3.1763,3.2751,3.5606,3.8606,3.9867,1.9628,2.4911
"KARS1",87.9739,150.9618,72.1999,136.3478,108.7296,92.1714,96.3294,92.253,90.4372,90.2376,90.0732,98.5969,97.5694,93.1954,93.2759,88.4998,100.9307,87.6446,64.6239,64.55,87.0265,92.0251,125.7698,103.3217,103.1809,128.6808,95.3141,81.0207,75.0592,118.3112,96.4001,102.4846,100.3443,90.3974,110.0214,120.8005,57.3688,162.9101,87.3846,84.7513,115.8477
"ADAT1",7.7733,7.1313,6.2739,15.4616,11.9416,8.4997,6.067,11.0887,6.9468,10.4213,6.781,9.6554,7.4674,7.6276,8.8358,10.7295,7.9632,9.0529,5.622,5.4619,8.1378,13.5094,9.2515,12.5409,9.3176,12.1276,14.3057,7.176,13.0494,14.8588,8.3916,11.6046,8.0639,8.1463,9.3056,10.0009,7.6595,9.6926,7.085,6.7203,9.7635
"PDIA5",21.3194,23.4456,17.9976,35.1549,22.0552,17.0444,15.7808,17.3412,20.024,24.5268,19.4227,22.1795,24.3207,18.4955,20.0193,25.3301,21.8496,27.8015,13.2017,10.7179,21.8884,21.4304,32.2208,21.1031,21.9711,33.8585,32.16,10.0531,26.148,42.4382,22.0742,28.5261,23.5747,22.2847,47.1167,26.9634,11.5362,34.4703,18.1082,17.258,30.845
"TBC1D22B",15.7892,19.8966,16.4347,20.9052,20.0318,12.932,15.0586,19.8949,12.7653,19.5736,15.959,15.3281,10.9114,12.9788,11.9175,15.7869,15.9715,17.956,17.7786,14.2853,18.1223,16.3855,17.0547,15.9178,15.8418,19.8049,18.9896,23.1718,17.3287,16.6181,17.2928,17.1136,16.7477,13.9229,17.6512,21.1513,14.6529,16.9173,14.7592,15.0521,20.936
"NDUFB4",138.701,167.3162,116.1265,169.2155,131.8232,130.3919,160.9294,106.9266,115.9016,139.3425,134.369,136.7473,131.0043,140.0158,123.5836,121.8521,142.8016,198.8402,116.9182,107.6045,131.6138,112.0761,187.2107,249.2851,136.2164,188.9969,131.5528,146.9948,128.7886,144.6449,139.0068,123.0569,139.4529,133.709,183.2357,247.0897,95.624,253.4966,109.2811,111.7127,160.2864
"SPEN",16.5415,19.5847,15.388,25.3739,25.2785,14.7403,11.1769,28.277,17.307,24.1027,16.7924,19.1711,23.2177,13.6333,19.0696,19.2873,19.6179,9.7382,15.6639,13.8714,20.7585,26.2609,15.1626,5.7158,21.1886,12.8765,23.1214,16.9578,19.2629,23.7011,20.1776,26.6728,18.3962,15.6647,16.9626,9.822,19.767,8.0628,17.2179,18.2794,19.5128
"MYLK",23.6916,30.4389,40.2685,205.7975,14.8964,170.1087,13.6811,300.3372,16.3926,53.8525,94.4427,21.8587,1195.1516,254.159,87.8913,17.4073,18.8949,17.5008,35.4373,74.3329,17.6889,165.721,455.9159,54.202,23.7415,50.3766,23.09,80.9013,23.9328,223.4756,52.1437,27.3959,65.5518,9.9599,53.4139,148.352,32.9855,344.4755,22.0748,49.9114,35.4036
"ZC3H15",56.9216,61.9805,62.6978,93.2678,58.4846,59.3538,53.8205,63.2014,41.3917,51.5125,44.1503,56.2354,52.211,61.166,46.5027,49.6262,67.6446,71.0905,48.9199,40.6054,50.8308,54.9795,73.5774,104.6077,58.8573,80.1762,67.5176,65.3989,50.9203,64.2185,55.9044,62.5476,55.7469,48.7307,80.4453,86.0064,45.7505,98.0523,48.8337,42.4017,57.0644
"MAP2K4",18.2848,21.9508,18.4427,21.1217,21.1672,16.3508,15.5968,19.8841,14.008,16.9949,16.4962,18.7326,15.2588,17.1299,14.8934,16.2352,18.3208,17.7769,16.9933,14.9227,17.5431,16.9642,20.8048,22.3549,19.3585,22.614,19.4523,16.1014,18.5831,18.2721,19.4725,20.1696,19.6129,18.9687,19.7339,22.2241,15.8017,23.1738,14.9555,15.3067,20.3302
"PACC1",2.9232,3.5527,2.603,2.8558,2.4913,3.9649,3.2853,2.6236,3.9086,4.058,3.544,3.1759,2.7692,3.4285,3.2089,4.1746,3.2101,5.183,1.9887,1.9646,2.6209,3.6325,5.4238,7.4729,3.2458,5.0705,4.3614,1.9816,4.3947,6.0441,3.7737,5.9913,4.321,4.7355,5.5462,6.5391,1.7348,7.8243,3.8211,2.6459,3.1978
"SLK",27.8728,34.9591,33.8549,51.5234,46.1526,31.1374,21.6763,55.0937,24.9125,33.9679,29.3897,29.8716,55.5535,39.8634,28.7937,27.7922,31.1857,23.8965,32.2362,28.1084,26.9536,41.577,41.2657,18.2982,34.0675,33.4904,32.3445,24.8454,29.9195,41.4826,35.2391,39.8586,35.8114,25.5582,32.3636,26.4804,29.5761,25.2326,28.1331,26.4908,36.562
"CYB5R4",8.555,12.3697,10.0388,11.6921,9.0858,8.0504,8.441,7.6814,8.7242,9.7597,7.8865,9.5996,6.5356,9.1029,7.6527,8.2601,9.8592,12.1033,7.7787,12.4945,8.3686,7.078,11.9164,23.1804,11.1561,13.5023,9.758,6.6431,10.2328,8.5357,9.5525,9.5077,9.3454,10.0381,9.7234,14.6058,8.7921,16.9034,6.7753,7.6991,9.6175
"COL17A1",159.4741,116.7462,155.1408,62.9608,70.7863,63.3967,149.2171,95.3288,89.637,123.2383,187.4899,154.5297,18.2318,87.5231,67.4055,161.1321,140.3431,95.6417,212.5542,193.1171,158.7052,64.7476,71.1277,31.0145,164.4609,100.712,88.5504,198.5717,100.2495,53.4403,148.7721,113.077,138.9998,88.9316,65.0305,71.8385,105.3351,34.1066,140.6292,192.9458,152.6522
"GSTO2",3.5447,3.6201,4.7631,5.5057,5.6689,3.2625,4.4577,3.2049,3.2052,6.5254,4.2357,4.7649,1.1489,3.0946,3.8879,5.4538,4.7876,5.9224,2.6652,2.1366,4.1737,6.2162,3.9733,5.4576,6.2506,3.7714,6.0739,3.3379,6.2475,4.0043,5.1474,5.1073,3.763,4.3393,9.4077,6.6575,3.2665,4.7079,3.2206,3.9452,5.8924
"SEC61A2",1.4325,1.6108,2.0941,4.2847,2.5097,3.0297,1.2865,3.5062,1.8162,3.5662,1.2631,1.4319,4.3479,2.8275,2.9912,2.1664,1.2673,2.8956,1.723,1.2906,1.8425,3.2502,3.279,2.1494,1.6601,2.2838,3.6489,1.5481,4.5314,3.8901,2.0419,3.0544,1.8776,1.92,3.2537,2.9919,2.4249,3.9316,1.3621,1.2831,2.341
"PRKCQ",2.1248,3.6238,1.1983,2.0082,2.1635,2.0155,1.5622,1.5712,5.734,2.0586,1.9065,2.6883,1.4421,3.5989,1.952,3.1352,2.0887,2.8067,1.4859,3.0265,2.4218,2.8236,2.5052,1.4192,2.2643,3.1665,3.4046,2.1822,1.974,3.0274,1.7649,1.7304,2.4482,4.829,3.1291,3.4473,1.9718,3.3812,2.992,1.7607,2.8635
"TLE2",25.3917,32.8569,11.8073,30.4799,29.1857,43.9435,43.7036,45.7402,25.89,50.5883,38.7597,41.6506,52.8019,40.7782,32.9753,24.9487,30.8554,38.4072,25.1913,16.4729,42.5213,37.1151,28.7586,25.3442,26.8725,27.0341,40.6683,8.9914,20.3752,42.9869,44.8044,44.8902,23.1437,35.7008,80.8355,50.8342,9.3785,38.4416,29.9786,29.4821,24.4408
"ASB1",7.8888,6.0375,5.8636,12.7143,7.8584,10.7187,6.8165,15.0827,7.4984,13.5658,9.8031,8.8374,21.1481,13.2705,9.6225,8.9215,6.5801,7.1766,6.5377,6.2687,9.2573,11.9239,14.4876,5.1866,10.279,8.2506,9.6541,7.6708,10.2649,13.7806,12.4989,9.028,8.4177,7.0268,10.2192,9.2109,7.5994,8.3771,7.4993,8.2451,10.2269
"FAM107B",63.8814,68.5672,61.9642,40.8573,92.0687,38.7812,34.7887,37.7654,49.4033,38.7595,33.0362,61.7966,20.3314,48.9125,29.8076,51.9326,56.2241,41.4639,50.1052,48.846,61.6913,22.598,49.9326,98.4264,58.239,59.0353,59.9122,39.4763,38.9297,34.3729,51.2503,38.8233,51.2572,56.009,33.1048,43.8064,53.1456,40.861,46.4035,46.7001,51.6315
"ME1",10.5945,8.504,10.5243,42.3724,6.1581,12.63,5.0201,23.1514,8.0511,7.7099,6.5644,9.3608,18.5765,8.7956,7.3315,7.2444,6.0593,8.5526,4.5235,6.9889,5.4397,11.265,20.4016,21.8971,9.2412,15.5944,9.4814,11.3476,10.1024,36.6022,7.2799,8.5033,10.9002,8.6606,13.1588,15.7091,13.7936,20.8602,4.3641,6.6573,16.2531
"TBC1D1",26.2319,21.6125,24.943,47.4215,16.3473,43.4409,19.1771,78.6159,19.3912,23.369,36.0446,20.3499,155.4327,57.6541,30.7442,21.1944,16.318,14.9978,25.9607,36.6683,17.2834,36.048,72.0242,15.726,23.682,25.8945,18.1875,24.6654,16.6838,61.5799,29.7634,22.9719,32.2494,19.2367,26.284,35.2495,23.5442,43.1154,23.0042,26.8028,24.8082
"CDK13",5.9795,5.8203,6.4318,7.0053,6.8599,6.0408,5.0539,6.0954,5.1672,6.7829,5.5836,6.2356,6.096,5.7077,5.6056,6.2195,6.217,4.7693,4.9703,5.2642,6.1568,6.5559,5.0389,3.6149,7.1939,4.86,7.319,4.635,6.9362,5.8048,6.6945,7.9375,6.2703,5.7271,6.3606,5.0203,6.3037,3.5356,5.4631,5.2246,6.9533
"MTHFD2",3.565,9.2435,4.0167,15.3446,7.0101,4.858,3.4743,4.2356,5.9022,6.1892,4.6899,5.1558,2.4707,3.7269,5.6528,5.9009,6.1372,7.5408,3.5667,2.3976,5.203,6.3914,8.4961,10.4992,5.3609,13.4365,9.2942,2.1233,6.1588,11.0488,5.5994,7.4144,5.9738,6.8405,10.0651,8.809,3.303,18.8839,4.7546,3.5082,7.3835
"SLC9A7",0.6565,0.7619,0.7405,1.5747,0.9432,1.5626,0.6694,1.5186,1.1859,1.0995,0.793,0.9527,1.1903,1.904,1.1999,1.6365,0.8538,0.838,0.7462,0.6511,1.1252,1.2753,1.9989,0.346,0.9662,1.5797,3.3031,0.8664,1.158,2.154,1.0406,0.7886,0.9009,1.7345,2.0998,1.4388,0.7887,1.2171,1.7693,0.654,1.1388
"YBX1",347.5164,410.9113,271.4541,627.4034,427.5636,441.2877,404.4286,414.7671,313.7731,374.8111,359.3808,366.0742,574.6937,450.9564,391.657,363.8379,422.9981,469.1049,231.8173,206.7184,377.9727,415.9524,631.4896,502.9979,381.9873,527.0147,417.876,333.9363,334.1436,471.5069,423.0658,480.7335,350.9084,339.6622,507.838,595.6547,238.3192,701.5989,323.9364,308.0663,463.0013
"PDE4A",7.1347,5.9221,5.854,10.7118,10.5527,7.9672,5.8956,20.771,9.1771,22.5307,12.362,8.094,18.0943,10.8177,9.2721,11.7781,9.368,10.9175,6.0783,6.8867,9.1864,11.8574,10.2406,4.2556,10.4851,7.6217,10.8715,3.058,12.8129,21.1445,13.6681,14.9757,7.4312,8.4987,15.508,13.111,6.1716,6.2357,9.5801,9.6291,11.02
"PPP2R5A",74.6386,94.0275,87.1403,66.1398,57.8345,68.5036,73.2098,58.2603,59.0571,63.0758,62.7507,66.9888,49.4004,72.4318,59.2826,68.1223,77.4259,82.7035,70.7213,66.7011,61.6381,56.7746,71.0512,84.0414,73.6593,91.4314,61.3835,58.5712,68.1957,64.5773,72.7087,86.2796,93.2706,76.2929,85.3984,87.3335,58.3371,70.8912,69.8586,62.4565,93.9189
"ELAVL1",25.482,31.1705,22.0017,40.9797,36.4649,29.2811,22.6692,28.9251,24.7128,25.9048,24.7669,28.9773,27.0499,27.1909,28.4443,26.5934,28.1237,22.6286,20.335,15.9378,27.9547,32.8613,26.9575,21.5866,26.2714,36.5692,28.8511,22.4513,23.3296,29.8782,27.6473,31.6013,27.0303,24.8558,28.8848,26.5565,18.952,22.837,26.6149,22.0085,34.9133
"TIE1",5.9571,2.6208,2.6424,10.4856,10.8179,8.7471,3.4466,12.5775,6.2349,7.8848,8.1294,5.2116,13.2638,10.1852,9.4991,7.893,6.1378,5.3852,5.7127,3.1294,4.618,10.1948,17.2527,3.7017,5.8826,11.4657,6.0475,6.7497,6.3573,20.4017,8.0305,16.2584,5.038,3.7465,10.414,4.9544,3.8574,4.7425,6.9677,8.7144,5.7647
"DIP2B",15.2486,19.8496,16.5098,23.7841,16.6895,15.4123,13.0886,26.1306,7.7889,22.8135,18.5933,22.2416,10.5581,14.4789,13.9027,17.8976,20.8109,13.7592,18.7529,17.9736,19.3838,19.8926,14.6757,7.5201,23.4321,16.3661,26.5192,11.7409,20.517,20.2229,21.7656,20.7399,18.2575,16.532,18.9823,12.3058,23.967,8.7227,16.8845,17.1347,22.3844
"SMARCD1",26.1785,30.3609,22.2385,34.3061,33.6389,27.4242,26.4035,27.6364,26.2988,33.6638,27.6721,28.7567,26.1824,25.7592,27.7617,31.2283,29.602,27.2108,28.497,21.7658,31.1668,31.7181,28.9483,23.3154,27.9958,30.2485,36.8895,37.1323,29.4818,29.9502,30.8809,32.8515,29.2811,28.8033,34.4327,32.07,23.5852,23.1173,29.231,28.4089,31.6978
"KDM4A",19.2882,19.9474,13.026,13.1062,10.9879,12.8681,15.4967,9.422,15.2486,17.8437,13.1958,17.9099,8.5243,11.8507,13.5269,18.0464,19.0654,11.5726,13.992,13.2568,15.8263,12.862,13.9992,7.6327,18.3395,11.8549,17.1669,10.7879,13.6556,12.4703,18.059,19.3072,19.0218,16.7185,14.6014,12.9264,14.1843,7.7607,13.8091,15.2781,19.4108
"NFYC",21.7576,26.1771,20.1973,25.595,22.5892,25.9978,24.9946,20.6923,23.0219,30.3415,24.079,23.9114,24.6835,25.7715,23.4309,24.1161,22.7373,23.0784,19.2183,18.9685,23.9873,24.6895,26.8723,22.5313,28.0579,26.6447,30.2475,18.7667,25.2387,27.0454,27.0193,27.3349,23.1258,22.438,31.5988,28.2658,19.8789,23.0812,20.1189,22.9509,25.7756
"SLC9A3",272.2521,185.4599,168.8211,8.1423,43.9881,170.0358,199.7263,12.4787,280.4228,7.0037,78.8361,163.6028,10.5839,29.7088,53.0824,113.1691,158.3578,15.1641,121.6478,252.172,120.8863,24.3098,47.5406,117.5021,208.0325,8.7577,23.3628,59.0422,26.0434,7.8081,46.834,29.8239,240.4724,182.4091,1.8501,8.8648,490.1136,1.5328,205.7068,149.052,45.4294
"NGEF",23.0044,23.307,18.9103,15.9557,18.5578,16.7476,30.262,10.5431,21.0882,29.7083,24.6515,22.559,3.0846,19.9225,18.9835,26.0931,25.0265,22.774,26.3572,24.8001,26.8375,16.2391,14.8028,12.7721,33.688,21.6138,20.7151,54.8228,28.1434,11.9478,27.6992,24.899,27.5579,19.4532,29.06,20.1083,24.0779,9.9561,20.1466,28.2016,27.3067
"ASPM",2.9636,5.5039,1.9062,4.2379,2.0278,2.008,1.4083,1.7365,3.3209,2.8095,1.9943,2.5526,0.5964,2.7425,4.3753,3.1062,4.5667,2.4891,1.6778,0.804,2.7648,4.4623,3.1694,1.6585,3.843,3.4119,4.9099,1.1568,2.61,5.6391,3.3954,5.6977,2.3809,3.79,2.5483,2.5064,1.5722,1.2435,1.6927,1.7555,4.7416
"CD84",1.993,3.4201,2.5488,3.4216,1.5181,3.9748,2.5975,2.2051,4.4407,3.1759,1.6407,3.5693,1.1295,2.9948,1.9267,4.6021,2.7419,2.2244,1.996,1.6577,2.8345,2.4294,4.5339,2.6351,4.2476,4.9183,6.5211,1.3507,5.3631,8.4221,5.9245,2.7723,2.8691,4.761,5.8782,3.9136,3.4831,3.4107,3.2672,2.7089,2.9136
"ELOVL1",178.4406,166.8539,137.6798,175.2144,137.6778,138.7839,175.6695,124.0694,146.8652,159.431,153.7174,164.4589,75.8751,129.4725,117.2288,157.4554,170.8911,163.1799,188.9348,164.0371,150.7096,123.9843,155.6387,196.0165,165.732,217.9434,133.4202,147.6994,137.3867,117.1645,144.872,152.1904,157.5477,152.7809,157.7152,165.087,135.2677,149.7345,138.1029,155.4194,192.1905
