"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"CHGA",665.0132,596.4413,223.3038,179.1799,361.7485,151.3515,173.025,259.953,196.1572,295.1169
"ITPK1",59.3917,87.6185,76.5099,58.61,88.0394,54.0595,29.5523,81.7784,86.8006,78.743
"PPM1A",23.9637,17.5929,42.1636,29.7469,23.6789,36.1272,25.1977,24.2262,33.0343,23.4185
"ASB2",20.5515,20.29,61.2791,25.6951,2.7217,41.3708,10.713,42.5983,1.9272,32.1851
"CEP128",0.9205,1.2263,2.0916,1.2564,1.4426,1.3925,0.5245,1.7147,1.2369,1.4128
"ERH",182.4908,143.7939,190.3829,146.2583,160.0502,293.4395,333.4158,149.6081,162.2502,137.4176
"HIF1A",68.1721,74.6138,64.2254,61.2604,73.9009,64.985,31.5557,70.695,77.4848,45.5859
"SRSF5",128.0771,143.5784,121.7025,168.53,113.2123,156.5335,71.3884,197.6751,140.7271,120.9669
"EIF5",86.6924,105.3057,149.055,97.2717,108.8854,145.4717,115.8124,123.0253,96.4427,79.4943
"DICER1",14.0055,17.2658,24.735,18.7015,18.7327,13.444,5.5102,18.9592,17.1538,12.7622
"MTHFD1",11.0125,14.5363,13.5308,8.7312,18.9693,9.7283,6.7333,17.6762,13.0853,11.5135
"ZC3H14",7.7903,6.1425,10.3089,7.3004,8.0764,7.3837,5.1553,7.8392,6.7812,6.1014
"TELO2",16.7889,29.9508,18.8692,15.9045,30.1524,13.1123,10.243,24.8974,18.5993,23.9888
"BDKRB1",3.5008,3.2908,1.503,3.6204,3.9675,3.9545,2.3196,6.7165,4.0755,8.8135
"GSKIP",79.522,75.7372,69.0354,62.6613,101.2974,165.0918,219.5251,63.3476,136.8412,66.0858
"VRK1",12.8794,20.446,16.8953,16.0166,24.0075,23.4428,20.1958,21.7322,23.3667,17.1222
"PSMC1",8.4366,10.5957,9.2174,7.0179,8.1083,12.193,9.1718,9.9312,6.9684,8.7336
"RPS6KA5",2.334,2.5087,5.4785,3.4189,1.8395,4.4299,1.3882,3.9987,1.8661,2.2302
"PPP4R3A",34.0543,40.3278,48.8455,47.5774,44.4172,38.2363,22.7171,46.7513,39.9677,36.6446
"PSMB5",174.3068,190.7339,140.2183,99.2064,176.1896,195.3802,202.8502,170.3697,142.3121,148.4575
"YY1",42.6267,38.8521,63.1679,43.25,47.6896,48.8665,30.0037,46.9969,41.8185,39.7168
"ACIN1",41.001,42.0485,51.336,46.6608,47.6251,29.128,15.652,51.1974,43.5768,40.5866
"CCNB1IP1",24.3228,16.2906,27.2004,16.5396,22.2461,37.3915,49.2852,19.8483,17.398,16.0046
"TRIP11",12.9962,9.7527,19.3456,14.017,12.7445,11.3308,6.0589,14.1201,13.484,10.1973
"APEX1",200.8033,151.9508,178.8523,112.9932,217.2135,218.0549,246.8128,172.3692,122.4709,136.6551
"PABPN1",3.851,3.6441,3.8207,5.5583,3.8402,2.26,1.659,4.1786,4.334,3.1696
"EFS",7.8084,4.9063,14.2939,7.2163,1.7509,9.3189,2.1714,13.085,1.91,7.545
"ARHGAP5",13.4377,16.3035,24.4401,12.6055,11.7833,14.4605,6.5389,17.6559,13.2671,9.9558
"CINP",14.1754,12.1621,14.0952,10.3041,15.5887,16.6677,23.6059,12.8954,11.1503,11.4847
"SRP54",18.6719,20.6774,19.5293,17.266,21.4898,19.2318,13.7241,18.694,20.0223,16.4775
"CHD8",10.2456,9.2094,14.6589,10.9616,10.1287,7.6696,3.4833,11.769,8.7774,10.1744
"PCK2",97.5698,86.1647,64.8451,86.9969,134.4238,61.9318,72.0192,79.8303,144.8943,87.9382
"PRORP",1.873,2.3701,2.6155,1.9398,2.8301,2.0295,1.8019,2.6048,2.2899,1.7797
"DCAF11",47.4217,40.1384,38.2209,39.4319,64.4461,43.2167,35.4104,43.9767,59.4476,46.5136
"PSMA6",1.9262,2.2445,1.2224,1.702,0.9594,2.0971,3.1892,2.2047,1.425,2.0866
"NFKBIA",187.1228,506.519,103.7509,153.1039,111.3601,114.5003,82.3104,299.111,109.7842,127.4027
"EMC9",13.4804,18.8569,11.3189,11.9314,27.9157,21.4877,22.9578,15.2033,22.3123,20.894
"PSME2",87.9211,93.3915,63.0349,78.2099,101.4054,88.9485,113.4815,86.7813,122.4635,95.1384
