"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"INCENP",10.8087,19.7664,14.3051,14.2066,28.794,9.5727,7.2779,17.0527,21.2595,19.0875
"CPSF7",39.1192,39.2002,44.3588,38.7626,43.4808,34.2785,18.9118,47.5534,31.2963,35.755
"B3GAT3",30.7524,27.333,23.5464,29.5432,34.7895,27.0858,25.9156,29.0701,30.4181,31.4601
"EI24",122.0838,119.2652,130.9534,80.8959,145.9708,134.4135,107.268,127.3262,108.9501,92.0736
"CHEK1",5.7259,8.968,8.9656,6.8709,12.8844,6.417,6.8787,9.8112,11.02,7.5838
"FEZ1",4.9993,4.6926,13.912,4.5081,1.411,11.5817,6.4626,8.6341,1.5127,5.9513
"ESAM",20.1332,17.8575,26.0779,17.3101,16.5093,21.3981,12.7359,25.4856,17.9101,21.4252
"TAGLN",492.201,907.1865,1902.2077,515.7204,52.0322,1618.7438,455.8429,1237.7812,38.2038,976.1663
"JPH2",14.2678,22.2204,63.3838,19.6839,1.8606,32.4837,5.6475,46.5821,1.3828,29.1947
"DUSP15",0.9003,0.4482,0.4823,0.457,0.228,0.8997,0.7869,0.8098,0.1254,0.5583
"COMMD7",41.9799,38.6699,41.3281,31.9208,45.1051,63.3509,93.6679,33.4491,34.0036,36.2793
"SPATA25",1.7497,0.6313,0.9661,1.7912,1.6491,1.9457,1.3135,1.2585,0.9421,0.8864
"DSN1",15.4375,14.4817,15.7529,14.5212,22.8768,17.9157,17.4256,18.5511,18.9779,16.2639
"LSM14B",39.7955,35.7877,45.6932,33.8165,41.8017,35.4666,19.3943,40.4998,32.0051,37.9993
"YTHDF1",43.9838,47.7003,53.0916,45.5121,55.7131,43.6451,29.1958,55.9665,47.726,45.6935
"CABLES2",9.2735,8.9926,9.6847,7.8613,13.155,7.066,4.431,12.6973,9.6719,8.6054
"LTO1",3.7794,4.2159,5.7714,5.0047,5.0626,4.1558,3.8231,5.2714,5.8986,3.9606
"TRPT1",27.1546,17.3475,20.1854,23.8939,33.5236,31.0788,41.4238,22.2732,24.5962,21.1846
"NUDT22",19.8517,20.1639,11.9641,16.2359,30.182,18.8752,23.3378,17.8515,22.0616,18.131
"FERMT3",44.1589,33.3019,21.938,46.5562,30.0817,27.3635,29.4215,30.1785,10.7595,43.7354
"PLCB3",49.9365,47.1117,34.3745,49.5252,107.5666,23.1923,24.9674,51.263,81.8441,51.5457
"MRPL49",60.0407,53.5307,64.8501,44.3902,77.1671,104.352,141.9425,61.1774,55.3383,47.8813
"FAU",592.9602,471.3801,456.2992,363.0672,406.6083,781.0743,1117.5958,450.373,284.9105,466.4345
"TM7SF2",10.4797,10.0258,7.5379,7.6163,15.0117,6.6182,7.3398,9.2841,47.0767,12.4835
"VPS51",80.9983,79.7693,62.1911,48.6395,105.7808,57.6963,55.3278,86.4756,57.9675,81.0348
"TBX6",1.3322,0.6859,0.7488,1.2341,0.4387,0.4885,0.2924,0.9172,0.4743,0.5529
"PPP4C",95.1582,120.6741,60.7081,72.7103,152.4782,101.6601,137.2372,88.1952,92.3144,101.4995
"ALDOA",11.3622,20.136,6.0879,9.7579,12.2514,5.1222,7.6002,15.3437,13.9273,15.3144
"HIRIP3",17.9448,14.5428,27.0645,17.8165,14.8091,19.0755,9.0125,22.4501,13.4216,19.241
"TAOK2",19.2791,19.7343,22.6903,22.9714,25.7664,13.4747,7.9194,27.8039,22.6203,22.8487
"TMEM219",146.1656,106.6462,111.4882,105.942,142.2676,180.1225,244.6625,108.5073,128.8417,115.6369
"HMGA2",1.8863,0.6941,1.2981,1.1547,1.934,1.0905,1.1745,0.6111,1.2987,1.2365
"MMP3",0.6045,10.3393,0.9368,1.1377,0.7251,0.4599,1.752,5.5098,1.4104,1.6148
"CLEC1A",2.6043,1.1562,3.5192,1.8779,0.7879,3.0823,2.3638,2.4552,2.4504,1.8895
"MKX",2.5552,1.3188,4.4293,2.898,0.3858,8.0598,1.5979,4.6653,0.5402,2.2875
"MPP7",21.866,14.8355,48.1895,24.8938,14.7619,38.7545,20.8534,29.9532,21.4832,19.8791
"ITGB1",74.283,100.8497,170.2332,67.3877,59.6652,117.6053,49.2452,117.7257,69.65,80.574
"CTF1",8.4286,4.8126,16.8481,8.156,1.0514,10.1382,4.6371,11.9766,1.1568,8.1635
"CWC15",49.1548,41.1552,55.4699,38.491,43.484,88.2112,94.9495,40.8291,43.1841,40.2149
"ARID5B",18.6503,18.2515,27.7579,17.4391,14.8321,13.7256,6.6971,41.8415,11.4516,14.2187
"DCUN1D2",6.3782,4.8639,13.0651,6.9694,5.5143,10.9904,6.1027,7.7718,5.7628,5.6311
"TMEM218",8.1525,5.7662,9.3031,5.6385,7.2235,14.0636,13.346,8.1286,5.7267,6.814
"TIRAP",5.7597,5.4564,5.9822,4.9296,5.6559,5.1379,3.1751,5.3798,4.8545,4.8729
"EEF1AKMT1",12.8688,9.7732,18.6641,9.4301,8.1218,21.0845,18.4743,9.86,5.8455,9.5391
"LATS2",13.015,19.6771,21.9861,11.0853,5.355,16.449,4.2516,41.4057,7.5667,12.1758
"SAP18",111.4879,109.5612,150.6329,99.2406,104.174,177.6877,159.6154,128.0982,110.2712,113.8618
"MIA2",19.7848,16.5209,15.9945,19.7346,23.126,20.3605,22.1596,14.2329,24.9993,14.0912
"HNMT",45.7272,26.5722,61.1601,46.1064,30.0448,86.8613,108.5646,36.3913,41.6352,30.1832
"PDCD4",255.9282,104.2609,205.8661,357.9401,203.1586,156.5945,132.4781,170.4266,211.7325,170.5104
"ADRA2A",16.7185,6.8719,15.4123,26.1971,15.7698,6.9747,4.1698,14.682,13.5843,22.05
"VEGFC",4.6171,4.4267,7.4459,4.5802,2.4237,5.2768,2.4082,9.3308,4.7876,6.1192
"PRSS23",42.5792,39.5371,106.2389,57.4247,19.1825,81.0982,32.6932,61.0595,48.8559,48.3484
"MTMR12",23.5486,24.5261,41.4613,22.3681,19.4738,29.5601,16.7195,31.0787,18.3068,23.2157
"C11orf53",4.514,1.8583,1.1571,4.5994,5.6488,2.6552,2.0731,2.9952,5.3101,2.5367
"CCT5",67.1538,103.2233,54.8837,52.9092,100.7056,74.5515,62.7628,81.3552,70.6232,71.9712
"ATPSCKMT",11.1502,10.135,15.7225,10.0209,12.7748,17.4866,12.0271,12.3742,9.4797,7.8567
"DOCK1",24.5708,22.7673,50.1191,34.1209,17.3555,25.3454,12.3673,37.7041,35.561,26.1516
"DIXDC1",24.0893,17.8216,68.6846,20.3364,4.6888,48.2236,11.2814,34.876,5.1555,22.6282
"DLAT",40.206,44.8056,45.8035,35.8303,56.3169,44.2407,30.7981,49.953,56.1995,32.7245
"TIMM8B",86.0275,90.1693,62.7977,53.3633,99.8598,143.4081,279.0892,79.7563,74.6174,82.7402
"IL18",37.2153,36.8131,27.8276,46.3829,49.0288,52.4051,59.6483,18.652,54.2654,31.1495
"PTS",14.218,17.3321,13.0632,12.8117,15.3501,26.7905,33.2086,13.486,17.7831,12.096
"PIP4K2A",19.4256,18.9582,25.4224,30.3912,11.1057,19.3576,7.7507,23.4997,11.2045,25.2533
"FOXO1",14.1192,29.5583,23.8623,22.9261,19.1996,17.308,7.0775,39.2456,21.9878,22.5122
"CRIM1",44.8752,67.5835,65.9383,49.6942,44.0457,37.8544,16.0482,68.1594,39.2923,42.4309
"SEC24D",25.3845,32.7912,21.4711,14.2229,27.2069,20.2478,14.7616,24.1808,24.0351,17.1611
"ABCB9",1.0426,1.0507,0.8735,0.9352,1.3439,0.7232,0.6633,1.2823,1.5441,1.2428
"RILPL2",8.8266,6.2775,8.723,6.1946,3.5106,8.0286,4.3503,10.0238,4.2451,8.0273
"DHX37",8.7789,16.0092,8.6627,8.332,17.7946,5.615,4.7014,10.4148,10.6297,9.8688
"UBC",444.4172,581.032,628.3556,581.0056,559.0098,648.5316,299.1896,710.0979,425.8916,588.3299
"SLC7A11",1.3627,3.2427,1.052,0.8435,1.9465,1.495,1.2853,3.6219,2.9576,0.8831
"NOCT",3.5287,21.223,1.674,4.828,6.0975,3.6107,1.3986,15.0653,11.6397,5.4043
"CACNA2D4",2.6759,1.2807,2.0578,2.0793,1.7178,2.2956,2.4693,1.8511,1.6351,1.909
"DCP1B",12.7193,7.7173,21.495,12.1899,9.2281,16.076,8.8147,11.6191,6.0331,11.8689
"CACNA1C",4.8844,5.9356,19.9817,7.3756,0.6611,9.0713,0.8589,14.6811,0.3865,7.2126
"THRB",12.3457,13.793,27.429,17.3899,9.2064,17.4791,6.7692,22.7823,12.0866,11.4692
"NGLY1",13.8652,9.9901,12.7529,13.5865,14.6453,13.3971,11.9331,10.1115,14.3744,10.9935
"OXSM",14.6082,10.5513,15.174,11.926,21.4284,20.5701,32.7702,11.0304,13.5051,12.9463
"UEVLD",23.943,19.9978,30.8634,21.1303,24.9609,28.6471,20.494,21.7953,24.5259,16.9972
"C12orf45",1.116,1.2104,1.8825,1.0943,1.4674,1.4736,1.3549,1.5215,1.1083,1.1687
"UBE3B",16.5189,14.0584,20.0254,16.7982,19.0125,13.1163,9.3795,19.4493,18.3954,14.7233
"ANK3",4.3351,4.03,9.1914,10.3961,4.9695,5.065,2.3161,9.9779,5.6447,5.9556
"IPMK",11.998,10.3097,16.3683,16.8263,17.2107,15.3694,13.4038,9.8856,23.0836,7.7432
"DLG5",11.193,10.8576,19.1446,9.9649,8.4186,10.1516,3.7754,16.9826,8.0295,10.1074
"MAT1A",0.1668,0.0435,0.5738,0.0822,0.1573,0.1904,0.3618,0.2456,0.4109,0.0845
"SLC2A13",10.0027,16.1424,16.0154,12.4609,10.1606,10.8822,8.1614,10.7146,20.3413,8.2143
"GXYLT1",6.3238,6.8465,9.5782,7.9833,7.5753,6.7154,2.9818,7.0859,7.5198,6.4833
"TWF1",69.4722,73.7382,79.1308,70.7916,76.8241,115.9929,104.0165,59.7134,93.0466,49.971
"DIP2C",14.6233,14.9508,46.7475,14.9813,5.6297,24.6606,4.6216,32.9391,6.3017,16.101
"EIF4E",8.5866,12.7965,9.8126,7.6202,11.3936,14.6148,13.5766,9.2184,11.6489,7.7793
"MAGI1",9.5336,9.0027,21.6115,13.528,10.1891,9.5363,3.807,18.8061,13.8968,12.5978
"CSNK1G3",30.2707,27.9517,33.3842,28.3236,29.5965,37.753,29.698,30.0529,42.0439,24.5085
"SRFBP1",9.3994,10.0874,13.4285,7.9179,11.7607,16.2967,9.61,10.8205,10.6466,7.1679
"MBIP",17.517,16.1021,24.9431,17.0772,15.0792,30.0529,23.1812,16.2049,15.1625,14.0092
"EXT2",20.7782,29.1946,24.9188,21.1719,27.873,22.3516,15.4913,27.2496,24.9471,23.1942
"TMEM18",9.1733,5.2166,11.7869,5.5947,6.3612,12.815,13.6666,7.1747,7.1669,6.6862
"NDUFC2",21.6876,15.5009,25.8118,21.3682,21.0874,29.803,40.0563,15.7039,20.5497,20.7192
"ME3",9.5171,9.6017,15.839,14.8773,13.0359,9.2711,9.5342,17.2936,13.5436,11.8758
"ADAMTS12",0.6524,0.7961,2.7029,0.9333,0.165,1.0169,0.4279,1.576,0.2722,0.704
"NUBPL",7.6516,5.7787,11.4779,5.4785,6.0035,10.2545,6.0613,8.3194,5.7315,5.9508
"NEK7",54.792,36.8018,131.3544,53.6445,24.8527,147.2397,85.178,57.7422,35.7982,38.3212
"FER",3.5037,3.8551,12.0159,3.8509,2.2922,5.6794,1.5847,6.9222,2.5529,3.6602
"VIPAS39",21.0392,12.1864,30.1083,18.5723,20.6874,26.1622,22.3718,17.5474,15.0114,18.3284
"ANKRD50",7.9965,9.536,22.2663,9.1785,6.7728,9.3752,3.3002,12.02,7.1871,8.695
"UPF2",20.7465,19.0603,41.4244,26.5015,23.1788,22.7648,10.0545,25.6229,20.6955,19.2747
"CDC123",52.0299,60.8868,53.6228,42.0897,65.2111,69.5265,61.1842,51.662,49.3085,50.0237
"SCLT1",2.4507,2.176,2.7994,2.5669,2.5825,2.9178,2.1703,2.4578,3.6796,2.5924
"FRMD4A",2.6433,2.7443,7.2578,2.9032,1.2457,3.0035,0.984,5.1393,0.9226,2.6853
"EPS8",62.6714,96.5868,63.5398,63.0856,86.7926,68.5076,57.899,65.9812,92.1356,58.0014
"ACAD8",13.5783,11.6102,13.2479,11.0121,16.25,19.5301,11.3757,15.9433,13.1638,10.6992
"THYN1",50.7273,33.8295,56.1681,39.7796,46.293,74.668,86.4993,45.735,32.0469,43.2144
"VPS26B",28.2625,27.7883,36.7467,27.456,35.5518,30.5977,15.7995,33.9407,30.6615,28.517
"NCAPD3",5.5216,8.8871,7.0581,6.1115,11.17,5.1021,3.4988,10.5134,8.9062,6.7617
"VTI1A",7.301,8.8478,8.7195,8.2335,10.9359,7.293,5.243,8.6683,9.9614,8.0055
"QDPR",31.718,30.5402,36.6979,20.806,24.2607,28.2849,29.2996,34.8555,26.2735,29.7564
"FAM160B1",10.5477,10.5926,25.0593,14.2272,7.485,16.4746,7.1985,13.5302,9.5734,10.0563
"QTRT2",8.381,9.395,8.9552,7.473,9.8069,6.1216,3.3828,8.7338,7.2706,7.1333
"MMAA",3.9341,3.5408,5.0312,4.3029,4.6085,3.3449,4.0791,4.0225,5.7209,3.1257
"ZNF827",4.4702,3.7319,7.8683,5.0185,3.5654,3.5187,1.4802,5.162,3.8287,3.7925
"EDNRA",4.1231,2.6312,6.9887,3.9104,1.2123,4.573,2.1742,4.5086,2.7672,3.252
"NR3C2",51.2289,57.745,58.4149,54.9774,88.0288,35.1997,21.993,54.6431,105.4075,53.3764
"VENTX",0.4765,0.6478,0.7807,0.5208,0.2929,0.3468,0.5122,0.7103,0.1933,0.2309
"ADAM8",6.4388,5.4739,2.8405,8.9673,2.1271,1.8554,2.714,5.134,2.2126,4.6601
"KIN",4.5178,3.5317,6.5467,5.3069,4.132,6.7051,6.3138,4.0067,4.7155,3.8699
"PIGF",4.7999,3.3066,4.1856,4.2769,5.0712,6.2787,9.3621,3.6729,5.031,3.3404
"ANKAR",1.3714,0.6271,2.1591,1.3867,0.6087,1.9791,1.6003,1.1306,0.8807,0.6544
"INPP1",25.0302,63.1821,22.2654,18.9165,44.8463,35.7908,21.6889,39.4005,21.9811,27.4548
"MFSD6",61.9078,65.3027,55.521,44.1156,75.6888,46.8008,30.3147,51.3139,66.1131,43.7187
"RNF144A",11.9342,16.2592,16.8654,12.0993,16.5633,11.9587,6.6598,12.0054,25.9829,11.196
"ASAP2",16.9882,23.795,22.1196,16.11,21.4371,11.3232,6.5404,22.6317,20.8551,14.0836
"ADAM17",4.8531,4.1329,6.902,5.1048,4.0192,4.4007,3.3738,5.5011,4.8379,3.1853
"FLI1",9.9272,6.6887,11.8111,11.6851,3.3681,7.5532,4.0141,7.3596,3.8306,8.3223
"WWC2",3.9575,3.4614,11.3147,4.1272,0.9697,7.2236,1.922,6.7047,1.2676,3.9738
"CENPU",7.5618,10.2602,11.7055,8.6726,15.4536,15.8025,17.2815,9.908,17.4038,6.2096
"ACSL1",21.6681,16.4043,38.6875,21.233,17.0487,23.3677,8.1593,35.9387,50.5866,20.1711
"SLC25A4",43.0256,49.2762,101.2964,41.7833,24.7897,102.5684,48.3248,72.6988,27.4104,50.044
"BICD1",1.2273,1.4484,2.7279,1.7269,0.653,1.2772,0.4842,2.3075,0.7636,1.3759
"SAV1",11.6066,10.601,21.9359,11.9075,8.8577,18.3119,8.8347,14.2402,7.7471,10.996
"CCDC122",2.756,0.9804,3.19,2.9069,1.6401,2.9199,2.7539,2.4236,2.692,1.8204
"NBAS",13.8818,15.9649,24.3885,15.0119,17.463,12.243,6.7127,20.6166,15.0205,14.9888
"TDO2",1.2388,0.6557,1.4414,1.66,0.0821,1.6788,1.1712,0.734,0.7978,0.6374
"GUF1",16.3686,17.8347,24.9886,18.5326,23.5826,17.5435,11.333,19.7816,30.0407,16.7243
"SACS",1.565,1.7747,5.6509,2.3756,0.9894,2.0503,0.5497,3.2885,0.9259,2.0527
"PABPC3",0.5264,0.3292,0.3779,0.5115,0.3828,0.5493,0.3914,0.4844,0.6551,0.4115
"CENPJ",3.5469,3.1584,5.2331,6.0216,5.0103,3.4383,2.5185,5.1955,7.1515,3.4519
"FBXO4",11.1555,7.329,9.7358,7.223,8.6026,12.1143,15.9237,7.1649,6.3885,6.8848
"CCL28",124.3975,36.1627,43.4032,69.8673,48.1637,93.6633,204.3504,39.0999,104.4778,60.8492
"PARP8",12.3225,7.0999,7.4097,7.6194,1.4304,10.0124,8.3387,7.2133,2.6664,6.4063
"DST",9.8668,18.0903,30.4291,19.5563,11.4174,12.9874,3.5746,24.5714,15.8401,15.2938
"TIAL1",27.2623,22.164,35.223,30.3773,26.3936,35.8254,33.474,27.6482,26.5888,22.5704
"BAG3",55.1129,115.5894,72.5095,59.2282,60.2425,62.0852,22.0402,133.2791,46.7846,65.1409
"KCNE4",4.2124,2.9486,8.3345,3.8724,1.2807,4.5114,1.511,7.4311,1.1336,3.5923
"AP1S3",2.4157,2.5269,1.1067,2.5587,2.8581,2.9069,2.8647,1.4507,3.6242,1.9182
"MZT2B",40.7147,46.1782,33.6406,30.9944,48.4892,39.3477,50.143,42.8587,36.4111,52.706
"PTPN14",3.6295,4.0748,14.9463,4.471,1.8769,5.8538,1.0393,8.4141,1.6818,4.9989
"MGAT5",32.7516,58.128,34.0623,46.134,50.5898,21.5893,9.832,45.6703,59.5396,44.1452
"GPATCH11",11.4371,7.6364,14.2098,11.1315,7.3805,13.5855,12.5525,8.7123,10.4736,9.5699
"HSPB8",129.5855,127.7448,405.1953,132.2303,7.8573,359.1404,49.9813,277.3845,6.9702,141.9259
"GEMIN6",7.0642,5.8662,9.1351,5.9911,8.4849,10.4475,13.2489,5.0223,5.4303,6.7792
"OBI1",5.6507,5.5719,11.86,7.2171,5.2574,9.8366,5.9542,5.6143,4.4285,5.0338
"ARL14EP",13.0844,9.3474,22.8195,12.2019,7.4846,25.7449,17.0628,10.7952,6.7839,9.8885
"EPG5",6.1518,4.4669,9.1547,7.3957,5.8017,4.4322,2.3465,8.0453,5.9559,5.6393
"PSTPIP2",6.9367,2.7452,6.4788,5.1743,2.3192,5.927,4.9878,5.0231,5.0967,3.6333
"ATP5F1A",231.0211,240.7402,225.6841,177.7146,320.8004,246.2736,252.0335,250.0966,260.9829,210.7096
"HAUS1",20.9641,21.9014,23.8132,19.8365,24.6986,35.706,57.7496,19.3331,18.0988,20.2918
"C18orf25",8.745,7.2688,11.3109,10.123,7.1293,10.3529,5.9043,9.8761,9.6887,7.7668
"SPC25",4.4844,9.087,6.8972,9.0197,14.0711,11.8253,15.7298,10.4468,14.3834,11.0914
"PDK1",5.429,3.9561,6.3241,6.2364,4.6932,7.1177,7.3993,4.8525,6.0903,4.1031
"PDE3B",10.832,8.9702,28.1018,13.9889,7.6157,15.1896,6.9278,18.2651,8.1788,11.2019
"TCF7L1",12.0145,12.2473,35.1336,14.7903,3.8035,15.5183,6.1039,22.6001,4.6316,16.8451
"TGOLN2",183.828,207.4113,222.2218,226.4739,222.8985,131.0907,82.6719,215.3314,257.9582,167.0253
"UHMK1",33.608,34.2151,43.7792,41.6719,36.4682,40.7139,31.5322,36.9036,45.9254,29.9285
"ATG10",5.8195,2.4283,5.0198,3.8737,2.9453,6.72,5.5516,3.4703,2.9687,3.1
"POC5",6.1162,4.4626,8.8067,7.1248,6.7629,8.6942,10.3463,4.9132,5.9864,6.1519
"SPOCK1",8.8658,8.0078,31.287,7.2534,1.1926,8.4774,1.4969,12.7114,1.0991,6.6105
"TADA1",15.7925,12.3777,25.8479,12.0266,15.1827,25.9029,27.2246,12.1736,13.2793,12.3351
"CWF19L2",11.9926,7.4437,22.7704,12.4952,8.474,20.0244,10.0888,12.5486,7.7004,11.1425
"JMY",9.6107,11.5236,35.4558,12.2567,4.8142,15.8861,2.8423,20.4185,4.4167,10.2658
"HOMER1",1.158,2.8601,2.3188,1.2532,0.7118,2.5411,0.939,3.6442,1.0311,1.4454
"XRCC4",7.9385,7.6197,11.3071,8.1353,7.3027,14.1659,12.064,7.7929,11.4594,9.2396
"SUV39H2",4.4585,5.1983,6.1541,4.4162,6.9363,8.024,6.0991,5.5527,5.6901,4.7202
"DCLRE1C",3.2291,3.4156,5.518,5.4895,4.1598,4.3804,4.6995,2.8087,4.6178,3.5894
"RPP38",10.1359,10.0422,11.7937,10.6163,12.3645,13.255,12.2619,9.0774,12.8917,10.3772
"NMT2",12.228,10.4148,18.2968,13.948,9.603,17.5292,11.9568,12.2219,13.0676,11.313
"USP12",39.7372,42.5861,80.8657,56.1418,32.6853,67.2228,26.719,63.959,46.4764,40.8006
"TRIM36",5.497,4.8623,8.7779,12.6397,13.6654,6.2288,8.1154,5.2658,14.9561,9.5981
"ZFP36L2",473.5702,205.8854,171.4403,304.2524,181.464,203.4493,84.8326,196.9385,138.6083,262.356
"PAN3",18.4863,14.2279,25.6021,21.1091,14.7401,17.4155,9.476,19.4566,15.2938,12.8315
"PFKM",23.1447,21.6547,43.9531,20.771,19.2895,31.3146,12.3322,40.102,16.2283,23.5938
"SPARCL1",313.9106,341.0783,1240.6664,414.7957,78.1056,840.4518,222.6637,621.0185,171.7631,380.8521
"MBNL1",61.9239,73.7251,155.3359,82.7719,49.8176,101.0209,46.932,95.9542,52.4978,68.7231
"NADK2",14.6584,15.5011,29.4382,15.5314,14.3519,22.7077,12.3988,18.6702,13.5567,11.8882
"GPD1L",73.9805,85.9974,87.4626,85.9457,103.2575,80.8059,59.431,86.2388,129.5111,81.9831
"GJA1",38.4741,33.987,41.762,28.8668,19.2485,39.4344,21.537,52.3207,29.0113,38.4821
"CCNO",1.3491,0.2446,0.3684,0.2602,0.8846,1.2943,1.2594,0.579,6.4778,0.416
"SLC30A6",20.029,21.6129,24.3994,17.3075,23.7058,24.4744,18.6004,21.3672,20.8715,16.3347
"PELO",11.4917,14.9423,21.7083,10.7022,9.9304,18.498,10.1611,19.9436,8.5021,15.1396
"RASGRP3",3.2323,3.1221,3.2317,6.111,1.6885,2.1997,2.5717,2.8018,2.3958,4.3844
"SAR1B",13.8753,20.4078,20.0131,19.6031,21.9087,24.991,30.6587,19.8225,22.389,15.6988
"GPR180",4.1287,3.8193,7.0381,4.7907,4.675,8.5514,6.626,4.7066,4.8075,3.5849
"ANKRD22",13.5425,38.6651,9.9765,10.6912,33.7367,14.3594,25.006,30.1806,25.4872,16.7324
"FARP1",4.0508,4.9843,7.0417,3.9481,3.2415,3.9454,1.6704,7.0354,2.6331,4.861
"IFIT5",13.1374,11.2552,31.8778,15.2191,10.9521,34.8837,12.6361,12.2962,14.3569,13.3499
"PANK1",19.4757,6.8617,16.7436,11.2135,14.9992,8.2515,8.002,9.6946,26.9108,10.6508
"HNRNPDL",68.7776,127.4742,121.7287,100.3375,79.2301,135.0964,47.3328,135.7338,82.4219,91.5108
"HHEX",10.0796,6.1479,13.7736,10.8423,4.3027,15.9838,7.0706,5.9812,4.9642,11.7687
"UTRN",17.4452,15.2165,31.9734,18.0121,18.5103,15.2612,7.0856,26.9899,16.4565,14.2654
"PTPRK",45.7387,51.0615,53.0312,39.9236,52.6038,31.5083,23.3158,54.7886,57.017,40.857
"GGPS1",10.0443,7.1933,15.8155,9.4532,8.5467,14.8367,11.6952,9.7409,8.6956,7.467
"ZNF117",1.9625,0.5908,4.4446,2.9441,0.7228,2.1528,1.5867,1.5342,1.3707,0.9122
"MARVELD2",16.1109,16.585,16.3883,19.2182,37.2953,14.1001,16.381,15.2592,28.6771,18.3253
"RAD17",19.9414,13.1504,25.2326,23.9625,16.0127,25.6293,14.871,16.7606,15.7372,15.6506
"MED21",22.8489,18.8744,33.3739,20.8025,18.6006,45.6549,42.7637,22.792,17.4752,19.2575
"PLOD2",32.901,21.6543,54.4567,90.9784,37.3757,35.4274,35.71,38.5137,106.5165,43.9529
"ADGRA3",24.2039,21.9543,35.5743,22.2952,32.29,23.9069,15.4469,30.3422,25.4032,25.199
"SREK1IP1",10.827,8.8374,16.6403,10.7027,7.5428,19.5545,15.7889,9.6473,9.6379,8.0723
"LGI2",2.1334,3.4991,5.9113,3.0271,0.6506,2.6139,1.1329,4.425,0.61,2.6783
"CWC27",19.478,16.2847,26.6122,16.998,19.4534,25.5008,16.6125,21.0749,16.1581,16.3706
"MR1",8.2781,4.9987,11.5,6.5917,3.2103,9.7026,5.5384,6.6529,2.6108,5.2016
"SRP19",2.3542,2.06,3.3725,2.6931,2.1595,4.0615,2.4078,2.6673,2.2904,1.9927
"CENPH",7.8551,9.1931,10.1799,9.7133,10.7807,14.4697,10.3111,9.9987,10.1817,9.7047
"CDYL",29.7376,27.4694,30.578,23.9262,26.4388,29.7545,17.2918,26.5456,27.7213,24.3044
"TXNDC11",72.6914,66.1009,43.0937,57.6615,63.8776,55.8162,52.8861,61.8577,67.8206,61.4392
"DAB2",42.2099,51.2281,43.3435,33.8038,36.7471,29.2024,20.0666,38.7449,24.6433,28.3678
"BCL2L11",17.045,13.3308,13.4593,19.5678,17.3997,12.2059,9.82,14.6795,16.0596,19.2251
"ANAPC1",4.255,6.0717,5.6349,3.4475,6.2663,3.4038,1.9815,6.249,4.8447,3.5842
"CAST",67.6499,95.5803,105.1381,71.7659,92.665,76.5744,49.5349,84.6122,97.2707,68.0974
"SCOC",41.9188,26.1618,51.7632,38.6578,29.752,85.0224,106.4812,33.276,43.0814,27.4659
"CETN3",18.2672,8.1969,19.1406,15.212,9.7739,23.708,28.8973,12.2815,9.9753,11.6601
"SMARCA5",35.0026,41.588,58.0844,39.1717,39.6805,42.4532,21.1174,46.2558,32.6642,34.4525
"BMP6",5.3582,5.571,6.3535,3.424,3.4768,3.6261,2.5927,7.2036,5.277,6.6979
"RASSF3",99.7371,114.6759,194.4232,89.4141,62.0426,183.7777,56.0988,126.8118,60.4612,102.446
"HNRNPU",40.3847,61.2845,61.2833,46.5083,70.4486,34.9866,16.811,59.613,50.6082,52.6527
"RANBP2",17.1814,34.0427,35.1041,24.7625,31.7199,17.9007,6.9961,42.9575,23.8121,22.244
"AHCTF1",8.4933,11.253,15.9465,10.6557,10.2506,10.6988,4.4844,13.9519,10.001,10.6212
"MERTK",9.5491,6.562,9.3973,9.2761,3.7702,7.9522,7.4671,11.7504,6.2393,6.9547
"PTPRR",11.0444,4.902,14.0831,23.0458,17.3205,11.0349,16.9114,8.0701,22.4328,11.3547
"NR4A2",80.6897,13.7204,4.152,48.5275,3.8165,15.7273,2.0575,89.3231,4.5388,54.1975
"PLA2R1",3.2698,1.9702,7.837,3.457,1.9691,3.4517,1.9159,3.9795,2.1767,2.2983
"RBMS1",9.7449,9.4,24.2387,10.6617,2.7436,15.5859,4.7841,18.4293,3.6666,9.541
"CD96",5.5194,4.7989,4.082,6.0976,3.1179,3.4616,3.3493,5.7533,1.5366,5.3722
"FRMD1",9.7303,15.2765,6.6475,16.0055,15.254,3.2767,6.794,12.7917,13.379,11.824
"CYRIB",18.6771,20.3979,15.8862,20.2345,15.4424,25.3397,24.3543,16.0722,18.3172,16.2735
"ASAP1",8.1692,9.6033,15.2209,11.3166,6.0149,8.0475,3.3968,13.9374,7.4041,11.1714
"TRAPPC8",18.1665,16.4587,25.323,18.9591,18.0148,23.2109,17.3401,19.2254,21.468,16.2185
"INO80C",6.8086,11.7964,7.1538,7.3057,9.7772,9.8564,9.0425,12.541,12.73,8.3945
