"","TCGA-AH-6544-01A-11R-1830-07","TCGA-AH-6547-01A-11R-1830-07","TCGA-AH-6549-01A-11R-1830-07","TCGA-AH-6644-01A-21R-1830-07","TCGA-CL-4957-01A-01R-1736-07","TCGA-EI-6510-01A-11R-1736-07","TCGA-EI-7004-01A-11R-1928-07","TCGA-G5-6233-01A-11R-1736-07","TCGA-G5-6572-01A-11R-1830-07","TCGA-AF-2691-01A-01R-0821-07","TCGA-AF-2693-01A-02R-1736-07","TCGA-AF-5654-01A-01R-1660-07","TCGA-AG-3580-01A-01R-0821-07","TCGA-AG-3581-01A-01R-0821-07","TCGA-AG-3587-01A-01R-0821-07","TCGA-AG-3599-01A-02R-0826-07","TCGA-AG-3726-01A-02R-0905-07","TCGA-AG-3732-01A-11R-1660-07","TCGA-AG-3742-01A-11R-1660-07","TCGA-AG-3878-01A-02R-0905-07","TCGA-AG-3882-01A-01R-0905-07","TCGA-AG-3883-01A-02R-0905-07","TCGA-AG-3890-01A-01R-1119-07","TCGA-AG-3892-01A-01R-1119-07","TCGA-AG-3896-01A-01R-1119-07","TCGA-AG-A002-01A-01R-A002-07","TCGA-AG-A008-01A-01R-A002-07","TCGA-AG-A014-01A-02R-A002-07","TCGA-AG-A015-01A-01R-A002-07","TCGA-AG-A025-01A-01R-A00A-07","TCGA-AG-A02X-01A-01R-A00A-07","TCGA-AH-6897-01A-11R-1928-07","TCGA-CI-6623-01B-11R-1830-07","TCGA-CI-6624-01C-11R-1830-07","TCGA-DC-4749-01A-01R-1736-07","TCGA-DC-5337-01A-01R-1660-07","TCGA-DC-6157-01A-11R-1660-07","TCGA-DC-6158-01A-11R-1660-07","TCGA-DC-6160-01A-11R-1660-07","TCGA-AG-3574-01A-01R-0821-07","TCGA-AG-3575-01A-01R-0821-07","TCGA-AG-4022-01A-01R-1736-07","TCGA-AG-A01W-01A-21R-A083-07","TCGA-AG-A01Y-01A-41R-A083-07","TCGA-AG-A026-01A-01R-A00A-07","TCGA-AG-A02N-01A-11R-A083-07","TCGA-DT-5265-01A-21R-1830-07","TCGA-AF-2692-01A-01R-0821-07","TCGA-AF-3400-01A-01R-0821-07","TCGA-AF-A56K-01A-32R-A39D-07","TCGA-AF-A56N-01A-12R-A39D-07","TCGA-AG-3578-01A-01R-0821-07","TCGA-AG-3591-01A-01R-1736-07","TCGA-AG-3592-01A-02R-1736-07","TCGA-AG-3593-01A-01R-0821-07","TCGA-AG-3594-01A-02R-0821-07","TCGA-AG-3598-01A-01R-0826-07","TCGA-AG-3608-01A-01R-0826-07","TCGA-AG-3611-01A-01R-0826-07","TCGA-AG-3881-01A-01R-0905-07","TCGA-AG-3887-01A-01R-1119-07","TCGA-AG-3894-01A-01R-1119-07","TCGA-AG-3898-01A-01R-1119-07","TCGA-AG-3902-01A-01R-A32Z-07","TCGA-AG-4001-01A-02R-1119-07","TCGA-AG-4008-01A-01R-1119-07","TCGA-AG-4015-01A-01R-1119-07","TCGA-AG-A00H-01A-01R-A00A-07","TCGA-AG-A00Y-01A-02R-A002-07","TCGA-AG-A011-01A-01R-A002-07","TCGA-AG-A01J-01A-01R-A00A-07","TCGA-CL-5918-01A-11R-1660-07","TCGA-DC-6682-01A-11R-1830-07","TCGA-DY-A0XA-01A-11R-A155-07","TCGA-DY-A1DC-01A-31R-A155-07","TCGA-DY-A1DE-01A-11R-A155-07","TCGA-EF-5831-01A-01R-1660-07","TCGA-EI-6506-01A-11R-1736-07","TCGA-EI-6507-01A-11R-1736-07","TCGA-EI-6514-01A-11R-1736-07","TCGA-EI-6882-01A-11R-1928-07","TCGA-F5-6465-01A-11R-1736-07","TCGA-F5-6571-01A-12R-1830-07","TCGA-F5-6811-01A-11R-1830-07","TCGA-F5-6812-01A-11R-1830-07","TCGA-F5-6814-01A-31R-1928-07","TCGA-F5-6861-01A-11R-1928-07","TCGA-CI-6622-01A-11R-1830-07","TCGA-EF-5830-01A-01R-1660-07","TCGA-EI-6883-01A-31R-1928-07","TCGA-AG-3586-01A-02R-0821-07","TCGA-AG-3725-01A-11R-1736-07","TCGA-AG-3727-01A-01R-0905-07","TCGA-AG-A020-01A-21R-A083-07","TCGA-AG-A036-01A-12R-A083-07","TCGA-AF-6655-01A-11R-1830-07","TCGA-DC-6155-01A-11R-1660-07","TCGA-DY-A1H8-01A-21R-A155-07","TCGA-EI-6881-01A-11R-A32Z-07","TCGA-EI-6884-01A-11R-1928-07","TCGA-EI-6917-01A-11R-1928-07","TCGA-G5-6641-01A-11R-A32Z-07","TCGA-AF-6136-01A-11R-1830-07","TCGA-AG-3601-01A-01R-0826-07","TCGA-AG-3612-01A-01R-0826-07","TCGA-AG-3728-01A-01R-0905-07","TCGA-AG-3885-01A-01R-0905-07","TCGA-AG-3893-01A-01R-1119-07","TCGA-AG-3901-01A-01R-1119-07","TCGA-AG-3909-01A-01R-1119-07","TCGA-AG-A00C-01A-01R-A002-07","TCGA-AG-A01L-01A-01R-A002-07","TCGA-AG-A032-01A-01R-A00A-07","TCGA-AH-6903-01A-11R-1928-07","TCGA-BM-6198-01A-11R-1736-07","TCGA-CI-6621-01A-11R-1830-07","TCGA-DC-4745-01A-01R-A32Z-07","TCGA-DC-5869-01A-01R-1660-07","TCGA-DC-6683-01A-11R-1830-07","TCGA-DY-A1DD-01A-21R-A155-07","TCGA-EI-6508-01A-11R-1736-07","TCGA-EI-6511-01A-11R-1736-07","TCGA-EI-6512-01A-11R-1736-07","TCGA-EI-6513-01A-21R-1736-07","TCGA-F5-6863-01A-11R-1928-07","TCGA-F5-6864-01A-11R-1928-07","TCGA-G5-6235-01A-11R-1736-07","TCGA-AF-2687-01A-02R-1736-07","TCGA-AF-2690-01A-02R-1736-07","TCGA-AF-3911-01A-01R-1736-07","TCGA-AF-A56L-01A-31R-A39D-07","TCGA-AG-3600-01A-01R-0826-07","TCGA-AG-3602-01A-02R-0826-07","TCGA-AG-3609-01A-02R-0826-07","TCGA-AG-3999-01A-01R-1119-07","TCGA-AH-6643-01A-11R-1830-07","TCGA-CL-5917-01A-11R-1660-07","TCGA-DY-A1DF-01A-11R-A155-07","TCGA-EI-6509-01A-11R-1736-07","TCGA-F5-6464-01A-11R-1736-07","TCGA-F5-6813-01A-11R-1830-07","TCGA-AF-3913-01A-02R-1119-07","TCGA-AF-6672-01A-11R-1830-07","TCGA-AG-3582-01A-01R-0821-07","TCGA-AG-3583-01A-01R-0821-07","TCGA-AG-3584-01A-01R-0821-07","TCGA-AG-3605-01A-01R-0826-07","TCGA-AG-3731-01A-11R-1736-07","TCGA-AG-4005-01A-01R-1119-07","TCGA-AG-4007-01A-01R-1119-07","TCGA-AG-4021-01A-01R-1736-07","TCGA-AG-A016-01A-01R-A002-07","TCGA-AG-A01N-01A-01R-A00A-07","TCGA-AG-A023-01A-01R-A00A-07","TCGA-AG-A02G-01A-01R-A00A-07","TCGA-CI-6619-01B-11R-1830-07","TCGA-EI-6885-01A-11R-1928-07","TCGA-EI-7002-01A-11R-1928-07","TCGA-AF-4110-01A-02R-1736-07","TCGA-CI-6620-01A-11R-1830-07","TCGA-DC-6154-01A-31R-1928-07","TCGA-DC-6156-01A-11R-1660-07","TCGA-DC-6681-01A-11R-A32Z-07","TCGA-DY-A1DG-01A-11R-A32Y-07","TCGA-F5-6702-01A-11R-1830-07"
"RALGPS2",11.2423,14.0686,20.2326,23.2855,9.7346,10.9777,11.0673,15.744,14.251,5.2377,17.3542,7.9225,6.6771,5.555,9.1839,6.9288,1.5391,31.1781,14.1314,1.7867,1.8813,0.9372,5.4809,4.187,4.0167,11.2746,8.8867,4.1123,8.5694,6.786,5.5439,17.5131,13.5735,14.7397,11.8875,6.218,14.0979,20.2864,18.9514,4.6494,14.9316,10.5975,15.0038,13.9926,8.968,14.3203,9.4831,11.429,4.7333,8.4713,9.9335,31.7511,15.1571,9.6337,8.9106,8.6199,4.6565,5.2281,9.1796,1.9385,4.1338,5.6679,5.566,10.6434,6.0698,8.9514,7.2836,5.8867,10.0305,11.6768,6.7965,6.7249,14.6755,14.86,8.5744,13.536,14.2861,12.733,22.2602,9.7406,41.8205,12.6659,11.4141,12.5513,8.2236,19.5152,8.895,10.5312,8.4191,9.7739,7.8227,10.5555,0.784,11.1749,8.8429,10.4749,3.5167,13.0111,11.8711,15.3887,8.174,12.2992,14.7631,4.6373,7.001,2.2209,2.094,6.7657,6.6547,6.9132,5.4353,9.0525,8.9896,10.7994,12.6419,14.5527,8.5745,11.9209,18.8122,6.2712,18.96,9.6005,10.8804,15.8284,16.2256,10.4304,13.1955,18.0096,8.1279,8.3363,8.3352,8.9748,4.275,9.1006,8.1997,19.3363,24.215,2.1935,5.2227,18.2245,8.3823,4.3676,25.6212,7.1997,4.3002,7.3479,4.8821,10.9272,7.5987,4.5137,10.2747,6.6991,10.3787,12.8567,16.4188,16.1724,16.3446,21.5527,9.9311,9.5512,9.202,20.4979,14.0539,7.6643,10.4242
"CEP104",6.7195,8.7785,15.1629,7.947,11.2384,9.4652,12.6025,9.3909,6.459,10.8735,6.6226,10.3746,10.0468,10.9639,9.3251,9.7765,10.1414,10.8849,15.5742,6.2348,4.5454,3.6845,9.37,5.9039,8.3986,10.9485,11.3166,11.9291,9.9831,7.7528,12.1893,11.9719,10.5483,7.1677,7.0437,3.6047,12.5476,19.9299,9.4784,7.5994,5.3614,12.9367,7.9629,8.7829,10.2438,9.8527,10.7031,7.9772,8.6676,9.5474,9.7545,11.3511,8.1876,10.9013,6.9037,11.3097,6.9623,9.5024,10.0628,3.7493,3.6571,8.1649,8.0109,12.9098,10.9108,9.9993,8.1612,8.3684,6.7525,8.5082,9.1909,8.57,11.3819,7.3082,6.3651,8.0168,9.0371,10.2286,14.0741,8.7178,15.1418,10.8598,14.9072,8.4686,9.9659,17.3807,14.8513,5.872,9.5225,12.3372,9.946,9.334,7.7493,11.492,9.605,14.0721,6.0121,3.3351,13.578,15.6746,11.3236,4.4725,9.0112,8.2756,8.2489,5.6407,6.1219,9.3098,8.4204,8.6965,9.5107,14.8635,5.678,12.1391,5.2257,8.1731,8.7183,9.7036,8.2844,9.0437,14.9523,4.8345,14.2549,15.983,19.3406,8.0894,9.2918,9.4074,5.5451,10.5917,10.3067,6.1579,5.0248,6.5468,9.2271,8.6348,14.0971,6.3644,11.59,11.7559,5.4901,9.76,10.7972,10.9721,3.1956,6.2496,7.0772,13.8002,11.4731,5.873,14.2109,13.355,12.4553,4.8821,8.5496,10.1225,15.7723,11.8551,5.2976,18.4623,11.8073,10.2241,6.6735,8.1681,11.7649
"FAM20B",36.7611,23.6852,45.3768,35.7456,39.2552,25.6803,42.4826,26.0658,37.7096,26.3725,27.3301,22.5157,30.7478,21.3992,36.0126,23.7847,11.3264,37.5471,43.4068,8.5242,7.3517,6.9518,15.956,18.7149,24.2349,55.7825,29.788,25.7442,38.2999,27.8731,31.7155,36.2545,34.4971,23.6355,19.4734,25.1398,27.0989,48.33,47.1999,19.528,31.7621,25.877,38.4943,31.5484,27.5299,32.4567,31.1726,38.3692,21.7663,20.8901,32.3693,58.4628,35.4914,22.6674,36.1819,23.2484,21.958,20.4277,32.4055,14.6593,18.3077,26.8907,24.7846,23.679,20.8287,32.618,21.0294,16.5777,31.4438,28.9234,18.7803,20.5177,30.3363,31.1177,23.9202,33.6636,31.8677,33.2218,43.764,21.3416,76.9843,28.7838,31.1527,25.663,22.0585,44.4474,31.9169,23.8247,27.1418,27.1976,27.2278,27.0848,10.9829,29.8967,33.029,32.4259,15.411,35.8375,37.816,46.4978,37.6809,26.664,39.8334,15.4595,26.5239,9.0155,9.054,28.7144,31.479,16.2702,22.5828,25.3224,19.134,32.5185,29.1055,34.6459,24.493,37.3067,30.9299,16.454,38.9421,22.3808,27.0459,39.4175,45.4302,30.2723,27.2765,35.7681,20.794,23.3518,21.3569,34.726,15.3174,19.5578,27.7281,78.3205,36.2359,16.401,26.1436,45.7709,34.8694,28.6873,49.2211,28.7258,18.6941,21.4437,12.0485,33.7585,25.4195,14.1497,44.0919,20.8083,27.2214,29.8239,25.7682,31.6686,43.1533,38.9709,24.8104,42.65,28.6023,56.3733,34.9683,26.1189,31.2203
"TCEANC2",2.3555,2.863,5.2401,3.7664,4.1491,3.3475,5.8886,3.1865,2.1547,3.8275,3.9665,2.9138,4.1018,3.1779,4.485,3.1185,2.1199,6.3333,6.198,1.9658,1.4331,1.9601,3.2773,3.1582,3.1067,4.3945,5.0834,2.28,3.3705,2.5909,5.7338,4.4632,3.0251,2.5687,2.6053,2.9924,3.9501,4.5026,3.1757,2.4439,4.603,3.1063,2.8938,3.5539,2.1608,2.6314,2.7925,2.6907,3.4655,1.9839,4.0007,4.449,4.4331,4.1286,2.737,4.5701,4.0354,3.6805,4.0817,0.9524,3.3753,3.4384,2.02,4.6355,3.2446,3.0149,2.9731,2.7,2.3063,2.6162,2.1734,2.2638,3.7308,4.138,2.2588,2.7539,3.6844,2.8421,4.528,2.6576,6.243,4.6634,4.3579,3.3999,2.0648,5.036,6.3936,3.1284,3.6768,4.3366,2.5215,3.0407,1.774,3.7137,4.8579,4.2947,2.1688,0.7458,4.624,5.4847,4.5578,3.2314,3.3379,2.665,2.561,1.4642,1.5936,3.4574,4.3176,2.4855,3.2229,2.6251,1.5125,4.455,1.4475,3.2862,5.0316,4.3986,4.5479,2.0891,6.4884,1.7091,3.8789,4.6791,4.0529,4.6043,3.3076,3.7964,2.396,4.9777,3.7317,4.273,4.007,1.3866,1.7568,3.0328,3.8915,1.7811,3.5208,3.2583,1.6803,4.8508,3.5266,3.1878,2.858,2.0274,3.8978,5.8677,3,2.2153,4.0727,3.0318,3.1592,3.0044,2.5657,3.7734,3.962,3.8173,2.6122,5.3078,3.8816,4.1783,4.9378,2.5829,2.9574
"TMEM59",81.1882,169.253,99.5913,105.7525,95.6313,164.3359,143.1212,111.6587,83.7505,132.2173,136.2122,67.0627,67.6216,104.4175,90.2912,90.2881,24.8714,150.1349,127.0779,50.2939,37.2219,57.3293,72.7975,118.0902,97.304,69.1384,94.8874,35.2242,90.1345,58.6064,111.3998,62.7126,62.174,133.9765,121.1233,144.5297,108.2169,129.4,69.1427,110.3193,204.7913,154.1541,46.7135,43.6245,46.844,78.5949,104.9987,66.9427,111.7,46.7871,84.1487,107.8144,194.4994,82.0193,60.708,80.2928,85.3577,82.1364,196.6464,41.4793,81.287,93.2859,32.8543,86.4453,78.4756,118.6193,69.6998,63.4584,43.5597,79.9656,80.2299,61.5332,79.0534,105.3317,100.6683,102.9433,149.9386,120.5242,113.8714,129.5791,161.1699,135.9587,121.5735,136.6557,70.6604,78.797,95.9898,119.9254,122.7534,154.0587,90.2892,154.3363,49.1424,88.9059,64.4891,91.1387,41.1581,16.612,137.4316,191.3089,65.1583,176.5698,106.196,103.1264,60.9183,62.3671,49.6474,134.7341,129.0952,83.1702,82.1506,69.052,64.0025,153.1895,43.6016,68.5817,149.0936,95.3612,136.1966,65.5032,152.4913,61.2414,109.5624,95.4901,165.3936,136.94,149.8022,62.9193,87.6245,157.4003,62.693,74.2034,191.3626,67.5643,65.9016,68.5185,130.9862,92.6859,129.8686,113.7922,58.23,124.8548,136.5207,83.5597,100.0803,58.8959,94.4284,96.1406,82.3917,79.6741,176.8014,61.0828,53.3828,62.34,67.7206,85.1037,94.4562,104.0984,124.0505,87.5838,131.631,190.6427,122.957,72.6064,119.4059
"WRAP73",10.8367,9.3792,15.3737,6.4502,14.4938,9.565,8.0113,14.6973,4.9892,16.0125,7.3969,14.6413,17.3586,15.9417,21.2992,23.0536,17.639,8.1869,17.1048,14.1643,12.3167,15.3136,20.8953,10.6457,13.6483,13.6505,15.6209,19.2903,11.6954,18.3315,23.8084,14.2281,11.8958,5.4145,9.7211,7.623,14.292,16.3752,7.3292,11.7732,15.7028,11.7796,10.4938,9.3611,14.9598,13.0024,11.0899,13.9641,14.6435,11.8583,15.177,14.1828,10.6811,15.4384,13.2283,15.1324,16.358,21.9538,16.7239,14.3253,13.655,24.0685,14.7024,22.2058,13.9613,14.6424,12.8088,15.3987,12.3954,12.6422,11.4848,12.0279,9.7258,6.6496,11.1578,12.8652,8.1146,10.7491,22.2353,8.437,14.3478,9.7376,12.0957,7.4271,10.1555,18.2896,23.9918,6.5468,13.352,17.6951,13.5871,11.7987,27.3604,18.0243,13.5606,18.9588,4.7598,5.2725,15.9853,20.2142,21.257,5.3527,12.2412,15.9605,19.2183,12.2431,20.0731,16.7776,14.3548,14.5603,16.7898,15.2578,10.775,9.9357,7.8389,9.6848,16.2088,12.5673,8.8844,12.1947,15.6274,5.8268,9.732,12.9315,13.229,8.5876,10.5361,11.6892,6.3095,18.5292,17.5599,14.8432,23.3364,13.2245,16.3791,7.396,11.9302,9.1823,11.3571,7.957,5.9532,16.1665,12.0483,18.7161,8.9012,12.5924,20.2515,13.5809,18.0479,15.8152,13.4091,21.9813,14.8505,8.7766,13.2318,12.5751,17.6603,12.9913,7.4573,14.2642,14.966,7.0495,5.8029,15.0045,8.8885
"MRPL37",132.2731,70.649,170.4191,137.5976,230.5261,108.7332,156.3736,155.4593,68.2701,160.8158,177.7521,171.1001,185.9523,193.4167,268.4273,205.6922,169.7452,103.3426,156.0689,128.4227,74.8474,144.7977,164.0436,183.9256,177.719,180.4244,203.2161,205.9053,144.8735,207.8897,253.1372,182.2985,124.6378,78.5611,142.9503,229.2151,110.4849,155.4373,101.6028,179.1161,139.3731,108.2805,214.0381,160.6282,83.3722,145.7739,113.6474,115.4192,168.3172,69.0237,128.0539,88.6236,144.3056,175.2492,102.7842,159.8851,257.5579,207.3424,125.6346,97.6522,258.3784,218.121,135.9883,148.9648,175.1475,157.0987,143.9828,143.941,121.1704,163.0326,139.6691,121.1165,194.2718,129.5122,137.887,88.6011,160.4152,101.4185,124.8046,83.6517,150.765,111.3743,113.1251,95.7236,53.1254,251.3699,189.8463,151.0408,140.4779,196.4804,209.265,104.0545,182.9173,269.9548,167.2358,177.1179,466.8728,48.7918,190.7431,155.536,144.6784,101.5544,112.0131,220.1983,194.8494,79.4941,147.1622,152.4374,164.0615,123.9088,194.4612,168.0991,77.7033,162.6132,60.429,112.7035,262.8616,145.659,160.4122,85.8308,225.7164,73.9593,176.2782,190.7332,168.9815,119.9321,127.662,110.1116,72.5382,189.8852,138.5523,253.5307,193.2027,164.0589,134.5817,90.4717,148.6484,42.5865,129.5042,87.8261,70.2631,222.2102,111.3403,169.7642,167.3994,107.1426,263.6273,216.9244,212.8636,124.1728,136.6531,217.7573,194.2625,157.0973,128.3634,135.7414,90.2945,100.7785,92.6374,246.7045,122.7168,101.7432,208.3688,68.6177,90.9562
"ICMT",64.8746,53.6492,105.2358,45.0425,117.8431,69.0628,102.8698,65.1821,33.9989,57.3955,46.3419,75.0146,85.2452,74.5195,77.9552,97.6166,75.176,58.3699,102.1054,58.4586,27.4712,32.1308,58.4712,59.7717,65.0923,101.286,45.3518,69.2811,77.3415,73.2375,132.8176,99.336,74.5899,60.7126,48.4896,30.8089,66.849,107.4562,66.4096,30.4403,73.3029,56.9041,57.5045,58.2182,51.7338,79.9632,78.3971,70.9803,91.3869,48.2797,83.528,66.0364,54.3449,81.8735,54.5906,95.3617,65.8672,67.3604,56.2862,45.5097,40.6233,81.1608,67.3105,54.6265,74.7501,85.5909,54.9664,71.1715,45.0615,67.534,44.6701,49.0433,101.4817,36.6892,52.3342,54.7873,58.2855,59.1646,120.2937,47.1737,126.794,62.3976,57.1886,69.9544,46.5546,122.6218,91.4052,45.5283,82.3347,57.9394,86.6573,61.0028,42.8746,97.4116,91.7879,88.7291,39.4001,16.9509,101.2846,92.2931,103.0661,36.5026,69.6063,58.0558,60.7716,41.5764,60.252,67.1066,53.9913,63.8186,71.4133,68.3093,31.4401,67.0634,30.9413,62.9892,64.2428,67.1646,51.8634,41.2817,113.5697,37.5993,75.2701,104.9408,90.0002,54.818,63.7885,84.004,45.756,74.8836,56.9455,62.673,47.2709,62.5074,53.4367,57.8478,66.2188,28.7019,61.1802,92.8589,34.4304,99.6737,52.8888,74.7536,27.9586,43.6897,43.7079,88.5718,81.6363,52.2412,139.7529,89.8909,53.6895,37.3336,40.9006,85.0584,61.3358,47.6849,38.8413,127.7833,48.7459,74.5016,44.6525,59.9073,89.1246
"RPL22",106.3324,54.9835,183.4828,94.949,153.527,96.4319,100.3994,114.5473,92.67,90.8958,100.4504,188.4953,94.7331,90.4409,56.7695,119.0678,21.1305,93.8906,164.085,25.3727,20.9617,12.4461,83.6404,42.3168,72.3952,32.901,82.8246,85.7817,129.3409,112.3567,155.4632,122.7942,124.8237,51.7999,69.6033,46.0215,119.0162,146.7672,73.1665,101.7097,39.6055,138.7651,118.8605,82.7278,92.7771,139.9553,128.7639,79.3981,73.5579,106.5606,105.3921,104.3185,125.3443,91.8918,57.6304,101.4238,86.0896,110.5807,65.2841,23.6875,59.4963,93.1642,75.7337,79.4113,80.5157,117.0011,51.2783,71.003,53.0036,96.9564,64.5471,131.6284,341.1797,121.5364,119.9898,73.8518,75.5346,97.1322,126.6291,96.3135,83.2125,94.9811,112.6981,90.4428,80.8196,148.4076,137.9371,76.7432,121.956,225.2371,73.0135,113.5776,16.2613,139.5061,104.0838,127.2201,124.2121,79.6586,166.9206,111.7718,220.9785,69.1575,139.8466,92.7689,92.6936,18.8375,34.2831,70.1986,42.5942,70.4118,142.0448,113.6033,67.1757,194.6785,66.2477,94.7241,121.4646,140.1351,118.0001,127.2205,153.9871,54.9274,143.8634,93.5478,194.9105,100.0327,136.8417,101.3235,81.5573,109.3097,143.0999,78.0489,37.8176,117.8007,70.9317,112.0833,135.8634,73.448,162.791,102.5995,70.1107,61.0979,147.1249,115.1571,32.2715,49.002,92.5685,117.3739,142.0391,56.7792,96.0681,112.4555,81.9845,85.8673,118.078,117.7438,140.6152,137.948,73.0581,142.8216,171.3719,88.2113,79.6087,173.8652,83.8285
"QSOX1",74.9783,146.5228,118.6871,159.4706,48.6829,88.9858,199.7581,72.6136,142.3478,45.4029,104.3311,69.6172,50.622,111.8962,52.1637,137.5629,104.1323,32.2823,134.1674,128.3996,52.8568,53.5728,58.4396,93.1664,74.2144,117.0239,91.7118,49.0178,169.3767,80.8345,21.6539,120.4387,105.8488,144.5596,56.2915,65.5781,59.8841,137.9252,146.3679,61.8769,83.7654,104.1311,26.078,45.2525,52.266,40.7977,129.2263,128.4223,117.7523,31.8507,60.7838,206.3282,93.0645,59.8992,38.0455,99.1989,84.3851,70.6211,201.1971,204.5393,124.3116,117.1847,45.8133,97.0579,47.8101,119.2977,75.1891,54.5653,84.58,101.2788,119.4177,51.9719,42.4409,84.9044,40.4274,154.8146,73.1642,150.2628,137.3873,53.8081,196.9265,105.7853,80.667,77.8762,32.044,98.5072,158.3601,123.1061,64.3118,37.822,91.051,243.4811,48.5139,40.779,31.2215,86.5378,68.6498,55.4495,128.5176,167.3148,103.2767,94.9717,111.4938,41.899,62.3289,82.8043,84.1533,96.0637,135.441,51.9818,79.0675,114.5429,60.8992,142.7513,113.713,109.5922,33.488,64.7055,56.6804,46.8231,104.0759,94.1963,94.1875,56.1384,97.9553,36.8158,99.2967,87.9028,44.7465,69.2623,48.7999,79.9046,67.818,53.1851,75.6537,197.7793,62.8413,49.0636,58.4232,203.261,83.9324,86.8891,181.3634,126.8176,69.8148,63.7121,85.9746,92.7528,100.6646,35.2692,206.6039,37.3023,87.1116,135.4975,19.174,109.3461,116.2731,125.039,126.6585,52.3298,105.7347,212.0456,115.2682,16.6461,95.6112
"STXBP3",21.9786,28.9405,39.4365,32.8237,26.6738,30.2655,29.8597,23.0135,19.4027,19.7506,39.706,25.8561,19.1668,16.9914,16.653,23.8956,1.772,39.7322,40.6552,3.9131,5.0776,4.446,14.351,19.4215,17.1003,25.4299,21.0939,12.4831,18.3328,14.3334,19.5719,32.1531,19.5171,22.9907,25.3627,33.7911,48.4959,54.4286,30.3146,21.8396,26.3454,39.8065,23.4826,30.2887,13.0382,27.0426,35.7628,17.961,20.654,23.2078,24.5713,32.8667,45.5636,27.8386,18.6664,10.5853,21.1172,18.1054,21.1513,3.6013,20.2241,18.5757,22.5926,27.964,17.7712,29.5827,14.7939,14.3537,9.4386,20.7071,14.6851,26.1936,43.1519,36.2668,27.2299,28.2402,59.3782,26.1921,36.4946,30.2186,44.2356,37.0006,36.1095,35.4258,20.851,37.9987,35.2243,26.1945,34.2039,33.2371,19.3488,38.5012,1.8144,22.1253,21.5244,30.5717,4.4444,23.0358,39.647,38.5915,28.6029,26.9807,38.4086,14.2448,18.2072,6.381,4.5142,19.5617,24.1511,17.9126,16.1013,16.6475,10.7308,41.6985,12.9184,20.5001,28.7185,47.4892,48.3439,26.5823,44.6886,16.1568,35.2442,33.6845,48.2068,40.3861,34.4454,29.874,23.7575,32.6222,23.6676,22.8046,19.5126,17.0871,14.4625,27.3874,42.5986,25.8586,14.8398,28.4019,14.3262,22.9015,40.9965,22.8601,20.4641,12.9249,14.8762,38.8992,19.3098,17.0237,33.7428,15.9258,14.9506,14.7056,17.908,27.4041,30.3228,31.476,22.8347,34.7615,42.706,66.2155,32.9559,33.3658,31.0785
"ERRFI1",36.1785,62.3137,111.3709,128.7778,30.8514,23.2064,51.3785,56.8129,31.0723,35.0173,46.7333,77.7724,47.2436,20.5657,46.1982,83.1618,8.4505,22.2741,46.2852,19.5904,5.6862,23.6237,37.6162,51.9721,21.3811,68.2139,13.5966,16.0175,66.0727,34.1311,66.8332,82.7745,28.7178,37.755,34.1447,18.9646,69.8397,68.2394,58.5923,19.1523,207.3063,79.2322,28.0339,38.5464,56.3243,50.8245,64.324,234.1112,107.3386,77.7105,172.4079,49.6464,25.7261,26.7476,12.3716,46.2066,31.8767,18.1051,13.1243,11.1706,20.3169,31.862,23.7396,47.3919,38.237,35.3618,26.0019,35.7147,15.314,7.0661,15.6489,21.6956,26.9583,29.9146,71.9746,27.2153,66.2828,44.3564,126.0791,14.9247,83.3359,66.6813,34.0354,26.9292,34.4408,29.3718,58.6064,69.0767,30.0225,9.8805,25.3048,57.9784,8.117,54.3096,46.8495,82.0215,5.6833,53.9664,56.154,39.127,82.9389,15.3043,39.6926,38.1993,25.4724,7.1178,7.227,36.1301,43.9228,36.1853,32.1889,63.8514,26.6337,59.358,60.5935,58.993,21.0762,78.1072,120.4936,13.4058,82.5418,17.7356,53.3861,37.5246,51.0376,29.4713,61.0142,60.9902,36.4501,65.6295,63.3408,50.3754,24.8185,31.3319,47.3683,64.99,159.3883,11.0259,38.4057,71.1154,23.9447,33.2331,59.156,60.6365,20.4212,13.1859,25.0497,47.8315,64.6467,41.757,142.3025,38.9322,30.3712,32.6879,26.0388,36.0942,86.9215,41.9064,26.4327,48.3407,101.0479,89.324,39.6568,23.628,106.0967
