""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"," Hour 029"
"MSL3",8.740156541,8.971736636,8.526933529,8.983822205,8.954985923,8.915870306,8.820047386,8.89294514,9.02867892,8.745629252,8.970186443,8.806745716,8.959588973,8.923961554,8.812348736,8.840179773
"C11orf58",8.641863754,9.615695239,8.91623601,9.312468601,10.09733454,9.046493043,8.870160701,9.1853017,9.436954009,8.940855984,8.680827672,8.829813146,9.925773109,9.227558738,9.564560933,8.954541316
"KDELR1",8.600798625,8.189957869,8.428011627,8.640187428,8.307260972,8.489750406,8.429689954,8.324174777,8.304674939,8.268636338,8.323615968,8.359019753,8.279506278,8.37767167,8.266432747,8.578143984
"SF3A3",8.624043361,8.512892157,8.548977734,8.757004206,8.833295338,8.590531536,8.63672093,8.680723258,8.658461729,8.669309772,8.571477906,8.575563806,8.732035735,8.696624942,8.722761256,8.340399755
"AP3M2",7.822057512,7.888783174,7.710621976,7.951330963,8.119458043,7.980895632,7.806487857,7.806635032,8.115338782,7.909981667,7.930332323,8.028813122,8.009452666,8.05091122,8.019079214,7.835489667
"STARD3",8.321727917,8.04120212,8.156225553,8.171491717,8.329688115,8.100465017,8.067582454,8.156163594,7.973547391,8.278788173,7.990567823,8.079325125,8.215272114,8.10832353,8.363715342,8.00213034
"HNRNPA0",9.667724077,9.787192637,9.795873664,9.852011696,9.696687297,9.874378804,9.798041424,9.790817792,9.704327258,9.666734922,9.853657443,9.741077714,9.675540023,9.735964801,9.663440054,9.785809487
"BTG3",5.728232488,6.339053639,6.060969055,6.375427745,6.614550459,6.117170317,5.906528335,6.080300443,6.403615583,6.033940225,5.960249573,5.701345192,6.631993568,6.171011795,6.390604403,6.114771036
"CBX1",9.499586751,9.865133277,9.59833804,9.701527422,9.771248625,9.73581037,9.659843536,9.691011206,9.765003199,9.439174732,9.66057139,9.744910366,9.810557804,9.740985783,9.727002512,9.796036869
"SEC61B",10.69906155,11.12963591,10.91720822,10.94404989,11.29481303,11.02007952,10.94154328,10.96211762,11.19973032,10.9620122,10.90989098,10.74583058,11.28425971,11.06980109,11.28965073,10.94441586
"TOMM34",8.369571292,8.176034201,8.134627423,8.21409012,8.532827977,8.128411182,8.064841892,8.114222832,8.302493127,8.230386083,8.135201894,8.379302744,8.144493307,8.126777004,8.289508816,8.16579616
"PDIA5",7.24104401,7.201822669,7.184814752,7.294711209,7.297206868,7.336756024,7.371074904,7.116978473,7.442055714,7.139100401,7.100309507,7.440856825,7.398220362,7.195728943,7.340743212,7.259585291
"OS9",10.77712317,10.43865307,10.75553075,10.6628301,10.35690785,10.56357055,10.67093573,10.75660209,10.57071123,10.47365451,10.77905935,10.62744914,10.35589697,10.51908953,10.37440359,10.55945153
"PNRC1",12.63392793,12.76472635,12.71666041,12.84072113,12.69756877,12.79907909,12.69007457,12.74223104,12.6265916,12.46375178,12.69136478,12.64906371,12.73748844,12.6677411,12.60241309,12.69510257
"TMED2",8.729981161,9.470762032,8.946687258,9.261557052,9.230375837,9.211015765,9.19479883,8.788228412,9.368512149,9.049511385,9.202152928,9.026221229,9.438818177,9.459073642,9.404954381,9.205189678
"LMAN2",9.436135416,9.288861044,9.354314839,9.327491531,9.382625982,9.255395096,9.423069153,9.155364476,9.334202989,9.287736007,9.416638873,9.247744955,9.407640406,9.464963529,9.416783832,9.353398593
"ERP29",11.35455496,11.42523142,11.32262581,11.47969676,11.84020489,11.53096464,11.4804284,11.15151282,11.59873804,11.49306748,11.45521718,11.44024403,11.76488466,11.57231145,11.71890341,11.43840245
"MLLT11",7.710414578,7.884594943,7.593994171,7.899124231,7.991381945,7.735319138,7.799247478,7.809188795,7.915527105,7.929391872,7.677208793,7.845664369,8.180619152,7.669892718,7.837268636,7.754007931
"STIP1",8.595955901,8.142600536,8.57412398,8.539479879,7.302427178,8.719577594,8.316419693,8.174729135,8.478483663,8.310622511,8.679462239,8.52258816,7.935206358,8.31463041,8.009610562,8.673750285
"IFI44L",9.368723966,8.99753055,8.971136468,9.103824442,9.300633118,8.993062432,9.184829325,9.16775522,9.198441583,8.544604331,8.727213677,8.472942292,8.393133032,8.408179845,8.203679627,8.973190522
"RAB40B",5.06247359,5.301312117,5.225135728,5.550729853,5.710010281,5.252277545,5.238899589,5.417791588,5.502643485,5.260733409,5.020870518,5.023764907,5.847294452,5.544505263,5.478954137,5.163713439
"EBNA1BP2",6.56092742,6.935702184,6.523417268,6.99669552,7.410077107,6.807115531,6.709241486,6.869467678,7.111483743,7.002211727,6.250110658,6.38187756,7.324404102,6.945037986,7.227398341,6.755643073
"CKAP4",9.909582775,9.843173277,9.86989885,9.435237301,9.204056757,9.748002547,9.906764254,10.03470225,9.70493688,9.78244813,9.918227406,9.770080313,9.532717523,9.714512482,9.410071138,10.08444811
"YWHAQ",11.07689305,11.39572205,10.96240895,11.40327178,11.64464748,11.19820357,11.18955591,11.15544186,11.45244198,11.08461686,11.10922014,11.07639801,11.45741745,11.20162996,11.23234469,11.23223747
"TMED10",9.848853331,10.25640064,10.02281094,10.26954154,10.40690275,10.16777941,10.08856698,10.0810122,10.31118169,10.02463963,10.15764722,10.08888532,10.4146617,10.28174465,10.39548755,10.07768617
"ASCC3",6.709046794,7.155215613,6.930140926,7.52750484,7.283713855,7.115014657,6.92237241,7.229302821,7.221273546,6.951986332,7.091121589,6.885486491,7.074933474,7.126670849,7.08624596,7.195035377
"ADIRF",4.385920053,4.314063522,4.509266629,4.260003587,4.383448772,4.375211776,4.334819005,4.292453757,4.311313932,4.445984103,4.248773689,4.359571279,4.264674459,4.310650884,4.240793962,4.273312034
"UQCR11",8.51759206,9.385166962,8.569598793,8.762915612,9.929738651,9.092438876,9.277912563,9.104088483,9.480297852,9.512775348,8.921516541,9.143011455,9.617188305,9.44624502,9.411789057,8.978647265
"CLP1",8.599624819,8.805399389,8.780956805,8.707234803,8.791097431,8.773363659,8.796083602,8.823436331,8.809986774,8.711760862,8.718547253,8.675685847,8.665659212,8.622463252,8.559706323,8.862731915
"FERMT2",4.067888155,4.114361168,4.127750607,4.073822565,4.103384375,4.095226934,4.054790477,4.100087426,3.991803325,4.117753721,4.036830345,4.125290989,4.100293797,3.977940335,4.145474072,4.043805405
"COPS6",8.802799351,8.77092419,8.747877991,8.973331266,9.119171277,8.745689171,8.730017456,8.779748379,8.949655462,8.909255052,8.611277206,8.834397353,8.856370665,8.826593368,8.937357578,8.718569601
"RAB32",9.358271389,9.955202419,9.758043842,9.926227058,10.23503763,9.702427665,9.766066207,9.766241997,9.993448266,9.724995402,9.715299952,9.93382064,9.955088927,9.890134861,9.814292169,10.03631212
"MAPRE2",10.34816406,10.48373226,10.34116609,10.47202998,10.32350636,10.48468372,10.48307561,10.46165259,10.52496225,10.45115491,10.47374389,10.4702277,10.49959464,10.43905932,10.44319675,10.54014445
"CCNI",13.3440258,13.36021012,13.19553541,13.33995269,13.45633536,13.25158278,13.29572787,13.35151956,13.39310245,13.35875403,13.2917194,13.51689322,13.3157921,13.38407674,13.37201415,13.21861083
"GCN1",8.580749467,8.328469835,8.453140081,8.685257282,8.341863025,8.609024399,8.489654543,8.367171475,8.545479874,8.539417681,8.596490838,8.457232813,8.443139282,8.412198703,8.449471423,8.526720865
"COPS5",8.438449336,8.877637736,8.556859062,8.980087552,9.233417287,8.667761158,8.822251262,8.785632264,9.066847027,8.724606051,8.750100641,8.739642437,9.182483096,8.990455456,9.012289578,8.758492087
"METAP2",7.521350294,7.860554353,7.762722782,7.842097629,8.267947178,7.851174532,7.5220423,7.863104418,8.099783561,7.716634294,7.926405727,7.436034476,8.234630574,7.791927025,7.990651465,7.710253144
"IMMT",9.796229253,9.588502522,9.738948522,9.876787038,9.683511378,9.79966893,9.765337631,9.707044485,9.864416888,9.803844718,9.741678178,9.761444103,9.834280422,9.679705778,9.585817143,9.713970215
"LILRB5",4.18534089,4.280954797,4.386119636,4.228621799,4.097255448,4.449824567,4.441245924,4.449505735,4.26622331,4.313315417,4.180687563,4.243201918,4.121329101,4.08371406,4.319857014,4.18515579
"SLC38A3",6.271603011,6.059301333,6.075900307,5.982988906,5.898204754,5.963899824,6.053616585,5.967968605,5.911306894,6.134086625,6.055202494,6.069406187,6.036191013,5.868718547,5.866198256,5.97440986
"SF3B2",10.67045523,10.36547646,10.57473978,10.67424414,10.20643062,10.4915055,10.53943368,10.56926479,10.48958814,10.54505029,10.68078257,10.63541108,10.40070303,10.44930622,10.30800256,10.63220512
"SDS",6.309931884,6.13743527,6.21167814,6.309438194,5.99715458,6.269441318,6.311836301,6.301687188,5.946207702,6.049364525,6.481951502,6.352016325,5.946454694,6.127215847,5.940082445,6.3512782
"ILVBL",7.369827618,7.33637621,7.402747194,7.365767646,7.437578424,7.264919126,7.475006833,7.246367883,7.43003633,7.449100585,7.071522257,7.35252778,7.517445577,7.366383367,7.448905289,7.369822219
"SLC27A5",5.887950555,6.119661038,6.017438962,6.165914906,6.303996041,6.029682299,6.080032107,5.994824204,6.119477038,6.188316799,5.989928183,5.861369838,6.300351356,6.06044754,6.020778046,6.002183416
"ADCY3",6.889504893,6.641756794,6.868087955,6.864719969,6.496987898,6.827665854,6.71724405,6.553163186,6.641025644,6.782887267,6.770258904,6.877390552,6.484187877,6.446999805,6.672679079,6.706652761
"NAT2",4.155601425,4.191283436,3.927135454,3.790488894,3.909208231,3.920177188,3.950503644,3.765017076,3.922313266,4.252478164,3.969109044,4.140784453,3.978061183,3.849928744,3.993218048,4.120267445
"SLC27A3",9.291819789,9.007461703,9.417180264,9.531469515,9.141394849,9.270651549,9.332999348,9.216622269,9.195386498,9.181340598,9.248891426,9.127524632,9.060438788,9.238826361,9.083343706,9.328715734
