""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"FOXF2",4.473557773,4.459822643,4.642882085,4.356730893,4.387788304,4.213993809,4.151281674,4.2339142,4.442444943,4.311900415,4.181086618,4.470302661,4.302666699,4.361747115,4.178635813
"TPX2",5.608906335,5.399541786,5.000599805,5.25830392,5.203511508,4.945463619,5.304513195,5.183993876,4.990906981,5.199046704,5.075789567,5.117265726,5.233303693,5.154634127,5.207779973
"PAXIP1",7.881272874,8.060280811,7.777356235,7.968656773,7.908918601,7.838092175,8.005139477,7.8329096,8.047131708,8.052542086,7.819932213,7.965815062,7.917416671,7.963165326,7.575535073
"AKR7A3",6.646963851,6.741835009,6.995291602,6.691421677,6.678225617,6.639745489,6.741669473,6.486325138,6.763990462,6.687880982,6.66429282,6.569825562,6.589572248,6.683307519,6.756019204
"NT5C2",10.51616106,10.76566488,10.82480644,10.16508833,10.48906014,10.66507603,10.61863762,10.55999391,9.955630859,10.63769146,10.30536168,10.02635277,10.42145568,10.41164903,9.822707865
"FOXD1",4.565737748,4.465360807,4.629077513,4.559455667,4.505197712,4.669565141,4.707897084,4.449339518,4.628018957,4.340274995,4.542274735,4.653775667,4.705791203,4.892793649,4.499109752
"TCF25",10.36432858,10.21565269,9.995112476,10.13708019,10.10907118,10.10134332,10.26284141,10.152768,10.19624166,10.18913231,10.21988219,10.18724663,10.01806197,10.06505693,9.951733659
"NINL",5.778123911,5.624738923,5.478232032,5.566273288,5.495555813,5.430756374,5.671428638,5.604146785,5.707481567,5.606397916,5.229478797,5.573369095,5.587764993,5.291541645,5.295109417
"DIP2C",7.02883282,6.954363545,6.870569594,6.989501754,7.031889521,6.973701084,7.103183437,6.980784413,7.237281368,6.999461833,7.071389898,7.223528753,6.841612608,6.986994045,6.976032049
"MAST1",5.730545125,5.448991576,6.086815266,5.827870636,5.656137148,5.479875531,5.370453147,5.314189995,5.388268046,5.490881186,5.362709104,5.486488381,5.513557059,5.483235943,5.589371824
