""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"PIBF1",4.832336321,4.896695861,5.532537008,4.44371324,4.382118384,5.094270373,5.179631447,3.800890415,4.762505774,4.885185469,4.915793949,5.150883018,5.04414569,4.709907124
"PPIH",8.160613869,7.883087626,8.211343624,7.857192805,8.096614662,8.348937568,8.225559859,7.382824008,7.864668605,7.579150611,7.924477011,8.178868056,8.278259411,8.066684995
"COG5",7.547919376,7.472740216,7.666355114,6.880409169,7.354168379,7.621356789,7.6234126,5.868013444,7.483007826,7.620799168,7.549292639,7.783810293,7.472642108,7.480477417
"ZNHIT1",9.862286829,9.673244013,9.734942642,9.548767953,9.874374698,9.798516666,9.74971202,9.028205761,9.670347761,9.522678198,9.873564232,9.850858384,9.425997074,9.85156306
"FST",5.079503408,5.308028552,5.2076478,5.499686978,5.264340647,5.274468189,5.206823257,6.072003034,5.083533873,5.177054588,5.552572561,5.332244882,5.276459335,5.361015834
"TIMM44",7.176511359,7.130747814,7.230748416,7.494284356,7.201938843,7.329557886,7.207398533,7.050031971,7.020563801,7.013282249,7.013776821,7.489041025,7.216000862,7.219173571
"CDX4",4.88363692,4.921518003,4.87329018,5.430092381,5.022762794,5.143634468,4.996579074,6.348104076,5.238311284,5.285371874,5.25153424,4.866104286,5.003877584,5.328968793
"PFDN6",7.305099246,7.383275008,7.598731052,7.403708238,7.268937772,7.445941343,7.42849556,7.196498766,7.46881849,7.144795006,7.333716895,7.358166097,7.112217037,7.103353849
"ZBTB18",7.617091553,7.816351191,7.671066354,6.889101368,7.706027674,7.58834307,7.74074438,6.79832131,7.433358877,7.424951047,7.138637352,7.483093999,7.351404461,7.396963582
"HMGN4",10.12393907,10.09892876,10.26284938,9.198111818,9.777163274,10.01294837,10.04638715,8.42669524,9.821463767,10.04208319,9.993666415,10.23878294,10.11902052,10.10030952
"TADA3",6.904763306,6.670264206,6.706080083,6.869948051,6.805478496,6.797270649,6.74743072,6.638440806,6.768797921,6.73761936,6.894134512,7.052042004,6.991953931,7.00847663
"TRIM38",9.385047726,9.243001502,9.279757179,9.051047174,9.382498101,9.182724221,9.792044784,9.571021735,10.50399282,10.40584879,10.1926114,9.758640197,9.916167318,9.69920011
"ATP5PD",11.08126143,10.88391837,11.3525778,10.98815029,10.85937478,11.48811517,10.98875524,10.46633337,10.92931782,10.82794873,11.14604383,11.62973312,11.29295461,11.29210503
"UBE2E3",8.728413444,9.042285138,8.934308112,7.928702783,8.889166551,8.821197212,9.006625851,8.059644642,8.780936065,9.008073466,8.742285794,9.279856788,8.698552108,8.812568752
"SLC25A17",6.492356538,6.519852158,6.708500287,6.37545351,6.33536369,6.371937051,6.354320663,5.569393872,6.189380307,5.94326368,6.100433173,6.509183563,6.512926106,6.343687562
"SLC9A6",8.643108409,8.772300681,8.792814999,7.962966551,8.142208554,8.520144164,8.53743955,6.990194394,8.329053692,8.366475665,8.155414796,8.621973317,8.443840419,8.404829645
"CLGN",3.73326847,3.5710734,3.532281811,3.816324206,3.57773167,3.714274289,3.459874738,4.14109677,3.872543431,3.593744213,3.478098303,3.675533613,3.653042225,3.770278063
"EIF3M",9.51521789,9.523305767,9.860089889,9.050706362,9.576614471,9.782963098,9.818894017,8.116169699,9.384790875,9.210959741,9.306639136,9.761514912,9.388440609,9.415179908
"HOXB13",4.590767625,4.819553934,4.519960027,5.085017211,4.55427209,4.671114487,4.633240591,6.744095429,4.731310879,4.945928868,4.47990808,4.714517937,4.850059156,4.496956294
"NXF1",10.61244458,10.83814416,10.91349797,10.5638567,10.86798226,10.76290069,10.7492184,10.34308882,10.60942653,10.19809659,10.38752058,10.78177812,10.59200413,10.64673665
"SEC23B",8.593994819,8.569963598,8.581122415,7.945038769,8.489673099,8.468119953,8.65784247,7.231626214,8.49027951,8.653830296,8.43638745,8.645405676,8.506078106,8.597499302
"SEC23A",7.348962022,7.395476705,7.553655249,6.301393662,6.984532489,7.172673067,7.34127129,5.147865782,7.008039266,7.396919283,7.014716499,7.347127343,7.069213723,6.993554809
